file,utterance_id,start_ms,end_ms,ref,mb,gl,ft
synthetic_texts_glossed.eaf,1,0,1518,iskul d̪ɔ nɔwaa,iskul d̪ɔ nɔwa-a,school TOP new-FIN,The school is new.
synthetic_bangla_glossed.eaf,2,1518,3453,uni d̪ɔ sikʰnɘt̪ paɽha͡o̯a,uni d̪ɔ sikʰnɘt̪ paɽha͡o̯-a,3SG.ANIM TOP lesson study-FIN,He/she will study the lesson.
synthetic_see_paradigm.eaf,3,3453,4788,unii̯ gɔc̚ʔɛd̪a,uni-i̯ gɔc̚ʔ-ɛ-d̪a,3SG.ANIM-3SG.ANIM die-PROG-FIN,He/she is dying.
synthetic_new_glossed.eaf,4,4788,6730,am d̪ɔ kat̪ʰa ɔlɔʔakada,am d̪ɔ kat̪ʰa ɔlɔʔ-akad-a,2SG TOP word write-PRF-FIN,You have written the word.
synthetic_texts_glossed.eaf,5,6730,8334,sikʰnɘt̪ d̪ɔ nɔwaa,sikʰnɘt̪ d̪ɔ nɔwa-a,lesson TOP new-FIN,The lesson is new.
synthetic_texts_glossed.eaf,6,8334,9849,bʰed͡ʒa d̪ɔ sapʰaa,bʰed͡ʒa d̪ɔ sapʰa-a,additional.assessment.on TOP clean-FIN,The additional assessment on rent is clean.
synthetic_texts_glossed.eaf,7,9849,11692,bilətɾɛ awad͡ʒ menaa,bilət-ɾɛ awad͡ʒ mena-a,england-LOC noise exist-FIN,There is a noise in the england.
synthetic_texts_glossed.eaf,8,11692,13379,at̪oɾɛ ʈaka menaa,at̪o-ɾɛ ʈaka mena-a,village-LOC money exist-FIN,There is a money in the village.
synthetic_texts_glossed.eaf,9,13379,15212,bʰāe d̪ɔ ɟɘɾuɽa,bʰāe d̪ɔ ɟɘɾuɽ-a,alarm TOP important-FIN,The alarm is important.
synthetic_new_glossed_3.eaf,10,15212,17493,mit̪ʔ basaŋ d̪ɔ iskulɾɛ menaa,mit̪ʔ basaŋ d̪ɔ iskul-ɾɛ mena-a,one cooked.food TOP school-LOC exist-FIN,One cooked food is in the school.
