file,utterance_id,start_ms,end_ms,ref,mb,gl,ft
santali_see_paradigm.eaf,1,0,2000,ɘliɲ bɘliɲ ɲɛla,ɘliɲ bɘ-liɲ ɲɛl-a,1DU.EXCL NEG-1DU.EXCL see-FIN,We two do not see.
santali_see_paradigm.eaf,2,2000,4000,alɛ balɛ ɲɛla,alɛ ba-lɛ ɲɛl-a,1PL NEG-1PL see-FIN,We do not see.
santali_see_paradigm.eaf,3,4000,6000,am bam ɲɛla,am ba-m ɲɛl-a,2SG NEG-2SG see-FIN,You do not see.
santali_see_paradigm.eaf,4,6000,8000,abɛn babɛn ɲɛla,abɛn ba-bɛn ɲɛl-a,2DU NEG-2DU see-FIN,You two do not see.
santali_see_paradigm.eaf,5,8000,10000,apɛ bapɛ ɲɛla,apɛ ba-pɛ ɲɛl-a,2PL NEG-2PL see-FIN,You do not see.
santali_see_paradigm.eaf,6,10000,12000,uni ba͡i̯ ɲɛla,uni ba-i̯ ɲɛl-a,3SG.ANIM NEG-3SG see-FIN,He/She does not see.
santali_see_paradigm.eaf,7,12000,14000,ɔna ba͡i̯ ɲɛla,ɔna ba-i̯ ɲɛl-a,3SG.INANIM NEG-3SG see-FIN,That does not see.
santali_see_paradigm.eaf,8,14000,16000,uŋkin bɘkin ɲɛla,uŋkin bɘ-kin ɲɛl-a,3DU.ANIM NEG-3DU see-FIN,The two do not see.
santali_see_paradigm.eaf,9,16000,18000,ɔnakin bɘkin ɲɛla,ɔnakin bɘ-kin ɲɛl-a,3DU.INANIM NEG-3DU see-FIN,Those two do not see.
santali_see_paradigm.eaf,10,18000,20000,alɛlɛ ɲɛlɛd̪a,alɛ-lɛ ɲɛl-ɛ-d̪a,1PL-1PL see-PROG-FIN,We are watching.
santali_see_paradigm.eaf,11,20000,22000,amɛm ɲɛlɛd̪a,am-ɛm ɲɛl-ɛ-d̪a,2SG-2SG see-PROG-FIN,You are seeing.
santali_see_paradigm.eaf,12,22000,24000,abɛnbɛn ɲɛlɛd̪a,abɛn-bɛn ɲɛl-ɛ-d̪a,2DU-2DU see-PROG-FIN,You two are watching.
santali_see_paradigm.eaf,13,24000,26000,apɛpɛ ɲɛlɛd̪a,apɛ-pɛ ɲɛl-ɛ-d̪a,2PL-2PL see-PROG-FIN,You see.
santali_see_paradigm.eaf,14,26000,28000,uni͡i̯ ɲɛlɛd̪a,uni-i̯ ɲɛl-ɛ-d̪a,3SG.ANIM-3SG see-PROG-FIN,He/She is watching.
santali_see_paradigm.eaf,15,28000,30000,ona͡i̯ ɲɛlɛd̪a,ona-i̯ ɲɛl-ɛ-d̪a,3SG.INANIM-3SG see-PROG-FIN,That is seeing.
santali_see_paradigm.eaf,16,30000,32000,unkinkin ɲɛlɛd̪a,unkin-kin ɲɛl-ɛ-d̪a,3DU.ANIM-3DU see-PROG-FIN,The two are watching.
santali_see_paradigm.eaf,17,32000,34000,onakinkin ɲɛlɛd̪a,onakin-kin ɲɛl-ɛ-d̪a,3DU.INANIM-3DU see-PROG-FIN,Those two are watching.
santali_see_paradigm.eaf,18,34000,36000,onkoko ɲɛlɛd̪a,onko-ko ɲɛl-ɛ-d̪a,3PL.ANIM-3PL see-PROG-FIN,They are watching.
santali_see_paradigm.eaf,19,36000,38000,onakoko ɲɛlɛd̪a,onako-ko ɲɛl-ɛ-d̪a,3PL.INANIM-3PL see-PROG-FIN,Those are seeing.
santali_see_paradigm.eaf,20,38000,40000,iɲiɲ ɲɛlked̪a,iɲ-iɲ ɲɛl-ke-d̪a,1SG-1SG see-PST-FIN,I saw.
santali_see_paradigm.eaf,21,40000,42000,ɘliɲliɲ ɲɛlked̪a,ɘliɲ-liɲ ɲɛl-ke-d̪a,1DU.EXCL-1DU.EXCL see-PST-FIN,We two saw.
santali_see_paradigm.eaf,22,42000,44000,alɛlɛ ɲɛlked̪a,alɛ-lɛ ɲɛl-ke-d̪a,1PL-1PL see-PST-FIN,We saw.
santali_see_paradigm.eaf,23,44000,46000,amɛm ɲɛlked̪a,am-ɛm ɲɛl-ke-d̪a,2SG-2SG see-PST-FIN,You saw.
santali_see_paradigm.eaf,24,46000,48000,abɛnbɛn ɲɛlked̪a,abɛn-bɛn ɲɛl-ke-d̪a,2DU-2DU see-PST-FIN,You two saw.
santali_see_paradigm.eaf,25,48000,50000,apɛpɛ ɲɛlked̪a,apɛ-pɛ ɲɛl-ke-d̪a,2PL-2PL see-PST-FIN,You saw.
santali_see_paradigm.eaf,26,50000,52000,uni͡i̯ ɲɛlked̪a,uni-i̯ ɲɛl-ke-d̪a,3SG.ANIM-3SG see-PST-FIN,He/She saw.
santali_see_paradigm.eaf,27,52000,54000,ɔna͡i̯ ɲɛlked̪a,ɔna-i̯ ɲɛl-ke-d̪a,3SG.INANIM-3SG see-PST-FIN,That saw.
santali_see_paradigm.eaf,28,54000,56000,unkinkin ɲɛlked̪a,unkin-kin ɲɛl-ke-d̪a,3DU.ANIM-3DU see-PST-FIN,The two saw.
santali_see_paradigm.eaf,29,56000,58000,ɔnakinkin ɲɛlked̪a,ɔnakin-kin ɲɛl-ke-d̪a,3DU.INANIM-3DU see-PST-FIN,Those two saw.
santali_see_paradigm.eaf,30,58000,60000,onkoko ɲɛlked̪a,onko-ko ɲɛl-ke-d̪a,3PL.ANIM-3PL see-PST-FIN,They saw.
santali_see_paradigm.eaf,31,60000,62000,onakoko ɲɛlked̪a,onako-ko ɲɛl-ke-d̪a,3PL.INANIM-3PL see-PST-FIN,Those saw.
