sentence_id,santali_sentence,english_gloss,bangla_gloss,template_id,sentence_type,source_pattern,subject_slot,noun_slot,verb_slot,adjective_slot,adverb_slot,place_slot,number_slot,synthetic,quality_note,source_files
SYN-00001,ona dɔ ḍhapaṛ ro̱n kuhṛạ kan-a,That is a flapping fog.,ওটা ঝাপটানো কুয়াশা।,ADJ_NOUN,adjective plus noun predicate,Report 5.1.17 adjective plus noun predicate,,ro̱n kuhṛạ [n.; Nature; fog; কুয়াশা],,ḍhapaṛ [n. / adj.; Action; Flapping; ঝাপটানো],,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00002,am dɔ gạphil kan-a-m,you are imprudent.,তুমি অসাবধান।,SUBJ_ADJ,subject adjectival predicate,Report 5.1.14 subject adjectival predicate,am,,,gạphil [adj.; Personality; Imprudent; অসাবধান],,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00003,ro̱ṛ me,Please to talk.,কথা বলা।,IMPERATIVE,imperative,Report 5.1.8 imperative,,,ro̱ṛ [v.; Language; to talk; কথা বলা],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00004,cạr bhado̱r minaʔ,There are/is four august-September (month).,চার ভাদ্র মাস আছে।,NUM_NOUN_EXIST,numbered existential,Report 5.1.17 number plus noun existential,,bhado̱r [n.; Time; August-September (month); ভাদ্র মাস],,,,,cạr [num.; Number; Four; চার],true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00005,uni dɔ ba-e ṭuṭạu kan-a,he/she does not to be fractured.,সে ভেঙে যাওয়া না।,SUBJ_VERB_NEG_PRESENT,negative present verbal predicate,Report 5.1.11 present verbal negation,uni,,ṭuṭạu [v.; State; to be fractured; ভেঙে যাওয়া],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00006,abo dɔ dhạrti-re kạsi kan-a,we do to castrate in/at universe.,আমরা বিশ্বব্রহ্মাণ্ড-তে খাসি করা।,PLACE_VERB,locative verbal predicate,Report 5.1.13 locative verbal predicate,abo,,kạsi [v.; Action; to castrate; খাসি করা],,,dhạrti [n.; Nature; Universe; বিশ্বব্রহ্মাণ্ড],,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00007,abo dɔ ba-bon bo̱ko̱bho̱ṇḍ kan-a,we do not bring contumely upon.,আমরা অপমান করা না।,SUBJ_VERB_NEG_PRESENT,negative present verbal predicate,Report 5.1.11 present verbal negation,abo,,bo̱ko̱bho̱ṇḍ [v.; Social; Bring contumely upon; অপমান করা],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00008,ona dɔ ba-ŋ dacaṅ kan-a,That is not ubiquitous.,ওটা সর্বত্রব্যাপী নয়।,DEMO_NEG_ADJ,negative adjectival predicate,Report 5.1.14 adjectival negation,,,,dacaṅ [adj.; Quality; Ubiquitous; সর্বত্রব্যাপী],,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00009,guric̕ mande-re sṛsa banuʔ-a,There is no plea in/at midden.,আবর্জনার স্তূপ-তে যুক্তি নেই।,LOC_NEG_EXIST,negative locative existential,Report 5.1.10 negative existential,,sṛsa [n.; Law; plea; যুক্তি],,,,guric̕ mande [n.; Place; midden; আবর্জনার স্তূপ],,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00010,am dɔ bhoṇḍra-len-a,you did wear away.,তুমি ক্ষয় হওয়া করেছিল।,SUBJ_VERB_PAST,past verbal predicate,Report 5.1.12 past verbal predicate,am,,bhoṇḍra [v.; Action; Wear away; ক্ষয় হওয়া],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00011,abo dɔ dulạṛ kan-a-bon,we are beloved.,আমরা প্রিয়।,SUBJ_ADJ,subject adjectival predicate,Report 5.1.14 subject adjectival predicate,abo,,,dulạṛ [adj. / n.; Kinship; Beloved; প্রিয়],,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00012,am dɔ parpạsind kan-a-m,you do to approve.,তুমি অনুমোদন করা।,SUBJ_VERB_PRESENT,present verbal predicate,Report 5.1.11 present verbal predicate,am,,parpạsind [v.; Action; to approve; অনুমোদন করা],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00013,nɔa dɔ dho̱mo̱k dharapkiạ kan-a,This is a haughty receptacle for sindur.,এটা অহংকারী সিঁদুরের পাত্র।,ADJ_NOUN,adjective plus noun predicate,Report 5.1.17 adjective plus noun predicate,,dharapkiạ [n.; Ritual; Receptacle for sindur; সিঁদুরের পাত্র],,dho̱mo̱k [adj.; Personality; Haughty; অহংকারী],,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00014,am dɔ bhao kan-a?,Do you rate?,তুমি কি মূল্য নির্ধারণ?,YESNO_VERB,interrogative verbal predicate,Report 5.1.7 interrogative verbal predicate,am,,bhao [n. / v.; Commerce; Rate; মূল্য নির্ধারণ],,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00015,am dɔ ba-m dạblạ kan-a,you are not mis-shapen.,তুমি বিকৃত আকৃতির নয়।,SUBJ_NEG_ADJ,subject negative adjectival predicate,Report 5.1.14 negative adjectival predicate,am,,,dạblạ [adj.; Appearance; Mis-shapen; বিকৃত আকৃতির],,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00016,abo dɔ mo̱ne̱ mo̱ne̱te abaṛ kan-a,we do cry mentally.,আমরা মানসিকভাবে কাঁদা।,ADV_VERB,adverbial verbal predicate,Report 5.1.13 adverbial verbal predicate,abo,,abaṛ [v.; Emotion/Action; Cry; কাঁদা],,mo̱ne̱ mo̱ne̱te [adv.; Abstract; mentally; মানসিকভাবে],,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
SYN-00017,ona dɔ aṅgur biṛhi kan-a,"That is whitlow, a.",ওটা আঙুলের ফোঁড়া।,DEMO_NOM,nominal predicate,Report 5.1.1/5.1.17 demonstrative nominal predicate,,"aṅgur biṛhi [n.; Disease; Whitlow, a; আঙুলের ফোঁড়া]",,,,,,true,synthetic; template-based; needs native-speaker validation,Copy of Copy of Final Report.Team Clausetrophobic (1).txt; MTZ_Santali_Dictionary.xlsx
