generated_id,template_id,generated_santali,generated_english,generated_bangla,best_eaf_file,best_eaf_utterance_id,best_eaf_santali,best_eaf_english,best_eaf_bangla,combined_score,english_word_score,english_overlap_score,bangla_overlap_score,santali_overlap_score,confidence
SYN-00001,ADJ_NOUN,ona dɔ ḍhapaṛ ro̱n kuhṛạ kan-a,That is a flapping fog.,ওটা ঝাপটানো কুয়াশা।,santali_with_ipa.eaf,54,ɾesʔk kan-a ɾesʔk kan-a ɾesʔk kɑnɑ,He's happy.,,0.1890,0.0000,0.0000,0.0000,0.3780,low
SYN-00002,SUBJ_ADJ,am dɔ gạphil kan-a-m,you are imprudent.,তুমি অসাবধান।,santali_glossed_1.eaf,63,am cɛt̪̚ʔlɛka mɛnama? am cɛt̪ʔ-lɛka mena-m-a? am | cɛt̪ʔ-lɛka | mena-m-a,Uncle: How are you?,[S7.3] কাকা: তুমি কেমন আছো?,0.2598,0.0000,0.0000,0.2887,0.4330,low
SYN-00005,SUBJ_VERB_NEG_PRESENT,uni dɔ ba-e ṭuṭạu kan-a,he/she does not to be fractured.,সে ভেঙে যাওয়া না।,santali_with_ipa.eaf,39,uni oɽae ba-e sen-kan-a-e uni oɽae ba-e sen-kan-a-e uni oɽɑe bɑe senkɑnɑe,He didn't go home.,,0.2988,0.0000,0.0000,0.0000,0.5976,low
SYN-00006,PLACE_VERB,abo dɔ dhạrti-re kạsi kan-a,we do to castrate in/at universe.,আমরা বিশ্বব্রহ্মাণ্ড-তে খাসি করা।,santali_with_ipa.eaf,54,ɾesʔk kan-a ɾesʔk kan-a ɾesʔk kɑnɑ,He's happy.,,0.1890,0.0000,0.0000,0.0000,0.3780,low
SYN-00008,DEMO_NEG_ADJ,ona dɔ ba-ŋ dacaṅ kan-a,That is not ubiquitous.,ওটা সর্বত্রব্যাপী নয়।,santali_with_ipa.eaf,136,niɟa iŋʔ kɔlɔm ba-ŋ kan-a niɟa iŋʔ kɔlɔm ba-ŋ kan-a niɟɑ iŋʔ kɔlɔm bɑŋ kɑnɑ,This is not my pen.,,0.2390,0.0000,0.0000,0.0000,0.4781,low
SYN-00012,SUBJ_VERB_PRESENT,am dɔ parpạsind kan-a-m,you do to approve.,তুমি অনুমোদন করা।,santali_new_glossed_1.eaf,20,amd̪ɔ cɛt̪ʔ nɔnɖɛniʲcʔ kanam am-d̪ɔ cɛt̪ʔ nɔnɖɛn-iʲcʔ kan-a-m,Are you the person from here?,,0.2462,0.0000,0.0000,0.0000,0.4924,low
SYN-00013,ADJ_NOUN,nɔa dɔ dho̱mo̱k dharapkiạ kan-a,This is a haughty receptacle for sindur.,এটা অহংকারী সিঁদুরের পাত্র।,santali_with_ipa.eaf,54,ɾesʔk kan-a ɾesʔk kan-a ɾesʔk kɑnɑ,He's happy.,,0.2041,0.0000,0.0000,0.0000,0.4082,low
SYN-00015,SUBJ_NEG_ADJ,am dɔ ba-m dạblạ kan-a,you are not mis-shapen.,তুমি বিকৃত আকৃতির নয়।,santali_paradigm_glossed.eaf,51,am bam ɾɔɽa am ba-m ɾɔɽ-a,You do not say so.,,0.2857,0.0000,0.0000,0.0000,0.5714,low
SYN-00017,DEMO_NOM,ona dɔ aṅgur biṛhi kan-a,"That is whitlow, a.",ওটা আঙুলের ফোঁড়া।,santali_with_ipa.eaf,54,ɾesʔk kan-a ɾesʔk kan-a ɾesʔk kɑnɑ,He's happy.,,0.2041,0.0000,0.0000,0.0000,0.4082,low
SYN-00019,SUBJ_VERB_NEG_PRESENT,abo dɔ ba-bon khablao kan-a,we do not to clutch.,আমরা আঁকড়ে ধরা না।,santali_with_ipa.eaf,55,ba-e ɾesʔk kan-a ba-e ɾesʔk kan-a bɑe ɾesʔk kɑnɑ,He isn't happy.,,0.2143,0.0000,0.0000,0.0000,0.4286,low
