file,utterance_id,start_ms,end_ms,bangla,english,ipa_original,ipa_normalized,segments,glosses,notes
santali_glossed_1.eaf,1,0,1000,[S1.1] মাটিতে একফোঁটা মধু পড়ে ছিল।,A drop of honey was on the ground.,ɔt̪̚ʔɾɛ mit̪̚ʔ ʈʰɔp ɲɛlɛɾasa ɲuːɾakan t̪ahɛ̃kana.,ɔt̪ʔ-ɾɛ mit̪ʔ ʈʰɔp ɲɛlɛɾasa ɲuɾ-akan t̪ahɛ̃-kan-a.,ɔt̪ʔ-ɾɛ | mit̪ʔ | ʈʰɔp | ɲɛlɛɾasa | ɲuɾ-akan | t̪ahɛ̃-kan-a,ground-LOC | one | drop | honey | fall-PRF | be-PRS-FIN,Glottal-stop ʔ retained morphophonemically; t̪ahɛ̃kana = past copula 'was'.
santali_glossed_1.eaf,2,1000,2000,[S1.2] একটা পিঁপড়া পাশ দিয়ে যাওয়ার সময় সেই মধুর গন্ধ পেল।,An ant passing by smelled that honey.,paɾɔm calaʔ ɟɔkʰɛʲc̚ʔ miʔʈɛʲc̚ʔ mũʲc̚ʔ ɲɛlɛɾasa sɔ͡i̯ ɲamked̪a.,paɾɔm calaʔ ɟɔkʰɛc̚ʔ mit̪ʔ-ʈɛn muc̚ʔ ɲɛlɛɾasa sɔ͡i̯ ɲam-ked-a.,paɾɔm | calaʔ | ɟɔkʰɛc̚ʔ | mit̪ʔ-ʈɛn | muc̚ʔ | ɲɛlɛɾasa | sɔ͡i̯ | ɲam-ked-a,beside | go | while | one-CLF.NHUM | ant | honey | smell | get-A.PST-FIN,muʲc̚ʔ/muc̚ʔ variants = 'ant'; sɔ͡i̯ = smell/scent (N).
santali_glossed_1.eaf,3,2000,3000,[S1.3] পিঁপড়াটি একপাশ থেকে মধু খাওয়া শুরু করলো।,The ant started consuming honey from one side.,uni mũʲc̚ʔ d̪ɔ miʔsɛʲc̚ʔ kʰɔʲc̚ʔ ɲɛɭɛɾasa ɲuɲu͡i̯ ɛhɔp̚ʔena.,uni muc̚ʔ d̪ɔ mit̪ʔ-sɛc̚ʔ kʰɔc̚ʔ ɲɛlɛɾasa ɲu-ɲu-i̯ ɛhɔp-en-a.,uni | muc̚ʔ | d̪ɔ | mit̪ʔ-sɛc̚ʔ | kʰɔc̚ʔ | ɲɛlɛɾasa | ɲu-ɲu-i̯ | ɛhɔp-en-a,3SG.DEM | ant | DET | one-side | ABL | honey | drink-RDP-? | begin-M.PST-FIN,ɲɛɭɛɾasa→ɲɛlɛɾasa (typo: ɭ→l). Reduplication ɲu-ɲu marks habitual/continuous.
santali_glossed_1.eaf,4,3000,4000,[S1.4] একবার খাওয়ার পর সে অনেক মজা পেল এবং খেতেই থাকলো।,After consuming once he was very amused and kept eating.,mit̪̚ʔd̪ʰa͡o̯ ɲɛlɛɾasa ɲu kat̪ɛt̪̚ʔ ɘɖi sibil ked̪e.ja aɾ uni d̪ɔ ɲuɲut̪igei͡i̯ t̪ãhɛ͡i̯na.,mit̪ʔ-d̪ʰa͡o̯ ɲɛlɛɾasa ɲu-kat̪ɛ ɘɖi sibil ked-e-a aɾ uni d̪ɔ ɲu-ɲut̪-i̯ ge-i̯ t̪ãhɛ-i̯-na.,mit̪ʔ-d̪ʰa͡o̯ | ɲɛlɛɾasa | ɲu-kat̪ɛ | ɘɖi | sibil | ked-e-a | aɾ | uni | d̪ɔ | ɲu-ɲut̪-i̯ | ge-i̯ | t̪ãhɛ-i̯-na,one-time | honey | drink-CVB | very | tasty | feel-OBJ.3SG-FIN | and | 3SG.DEM | DET | drink-RDP-EMPH | EMPH-EMPH | stay-EMPH-?? ,Missing outer brackets in source restored. ked-e-a = 'felt it'; ɲuɲut̪i+ge+i̯ = continuative+focus.
santali_glossed_1.eaf,5,4000,5000,"[S1.5] মধু খেতে খেতে তার পেট ফুলে গেল, তবুও সে খাওয়া থামালো না।","His stomach swelled as he kept devouring the honey, but still he did not stop eating.",ɲɛlɛɾasa ɲu ɲut̪ɛ uni.jaʔ laʲc̚ʔ d̪ɔ pʰulɘ͡u̯ɛnt̪a.ja ɛnɾɛhɔ̃ ɲɛlɛɾasa ɲuɲu d̪ɔ ba͡i̯ bɘgi.jad̪a.,ɲɛlɛɾasa ɲu-ɲu-t̪ɛ uni-aʔ lac̚ʔ d̪ɔ pʰulɘ͡u̯-en-t̪a-a aɾ-ɛn-ɾɛ-hɔ̃ ɲɛlɛɾasa ɲu-ɲu d̪ɔ ba͡i̯ bɘgi-akad-a.,ɲɛlɛɾasa | ɲu-ɲu-t̪ɛ | uni-aʔ | lac̚ʔ | d̪ɔ | pʰulɘ͡u̯-en-t̪a-a | ɛnɾɛhɔ̃ | ɲɛlɛɾasa | ɲu-ɲu | d̪ɔ | ba͡i̯ | bɘgi-akad-a,honey | drink-RDP-INF | 3SG-GEN | stomach | DET | swell-M.PST-PROG-FIN | even.so | honey | drink-RDP | DET | NEG | leave-PRF-FIN,ɛnɾɛhɔ̃ = concessive 'even so'; -t̪a- progressive marker.
santali_glossed_1.eaf,6,5000,6000,[S1.6] খেতে খেতে সে মধুর ফোঁটার মাঝখানে চলে গেল এবং তার পা মধুতে আটকে গেল।,"While consuming, he stepped in between drops of honey and got his foot stuck in the honey.",ɲɛlɛɾasa ɲuɲut̪ɛ unid̪ɔ ɲɛlɛɾasa t̪alaɾɛ͡i̯ bɔlɔ͡i̯na aɾ a.jaʔ ɟaŋga d̪ɔ ɲɛlɛɾasaɾɛ t̪ʰɘli.jɛnt̪a.ja.,ɲɛlɛɾasa ɲu-ɲu-t̪ɛ uni d̪ɔ ɲɛlɛɾasa t̪ala-ɾɛ-i̯ bɔlɔ-i̯-na aɾ a-aʔ ɟaŋga d̪ɔ ɲɛlɛɾasa-ɾɛ t̪ʰɘli-en-t̪a-a.,ɲɛlɛɾasa | ɲu-ɲu-t̪ɛ | uni | d̪ɔ | ɲɛlɛɾasa | t̪ala-ɾɛ-i̯ | bɔlɔ-i̯-na | aɾ | a-aʔ | ɟaŋga | d̪ɔ | ɲɛlɛɾasa-ɾɛ | t̪ʰɘli-en-t̪a-a,honey | drink-RDP-INF | 3SG.DEM | DET | honey | middle-LOC-EMPH | enter-EMPH-?? | and | 3SG-GEN | foot | DET | honey-LOC | stick-M.PST-PROG-FIN,Leading '. ' deleted in source. a.jaʔ = aʲaʔ 'his/its'.
santali_glossed_1.eaf,7,6000,7000,[S1.7] যতই সে পা ছাড়িয়ে নেওয়ার চেষ্টা করলো ততই সে ভেতরের দিকে তলিয়ে/ ডুবে গেল।,"The more he tried to get his foot out, the more he sank inward.",baɲcaʔ lɘgit̪̚ʔ a.jaʔ kaʈa t̪inɘʔɛ ɔcɔʔɛʔt̪a.ja unɘʔgi bʰit̪ɾisɛʲc̚ʔɛ bɔlɔ cala͡o̯ɛ̆na.,baɲcaʔ lɘgit̪ʔ a-aʔ kaʈa t̪inɘʔ-e ɔcɔʔ-ɛʔ-t̪a-a unɘʔ-gi bʰit̪ɾi-sɛc̚ʔ-e bɔlɔ calaʔ-en-a.,baɲcaʔ | lɘgit̪ʔ | a-aʔ | kaʈa | t̪inɘʔ-e | ɔcɔʔ-ɛʔ-t̪a-a | unɘʔ-gi | bʰit̪ɾi-sɛc̚ʔ-e | bɔlɔ | calaʔ-en-a,save | for | 3SG-GEN | foot | as.much-3SG.A | force-OBJ-PROG-FIN | that.much-EMPH | inside-side-3SG.A | enter | go-M.PST-FIN,Correlative t̪inɘʔ...unɘʔ = 'as much...that much'.
santali_glossed_1.eaf,8,7000,8000,[S1.8] একসময় পিঁপড়াটি দমবন্ধ হয়ে মারা গেল।,At one point the ant suffocated and died.,sahɛ̃t̪̚ʔ bɔnd̪ɔ.jɛnt̪a͡i̯t̪ɛ uni muʲc̚ʔ d̪ɔ mit̪̚ʔgʰɘɽi t̪a͡i̯nɔmɛ gɔʲc̚ʔɛna.,sahɛ̃t̪ʔ bɔnd̪ɔ-en-t̪a-i̯-t̪ɛ uni muc̚ʔ d̪ɔ mit̪ʔ-gʰɘɽi t̪a͡i̯nɔm-e gɔc̚ʔ-en-a.,sahɛ̃t̪ʔ | bɔnd̪ɔ-en-t̪a-i̯-t̪ɛ | uni | muc̚ʔ | d̪ɔ | mit̪ʔ-gʰɘɽi | t̪a͡i̯nɔm-e | gɔc̚ʔ-en-a,breath | close-M.PST-PROG-EMPH-INS | 3SG.DEM | ant | DET | one-moment | after-3SG.A | die-M.PST-FIN,sahɛ̃t̪ʔ = breath; gɔc̚ʔ = die.
santali_glossed_1.eaf,9,8000,9000,[S1.9] লোভের কারণে পিঁপড়াটির মৃত্যু হলো/ মারা গেল।,The ant died due to its greed.,a.jaʔ lalɔc̚ʔ ijɘt̪ɛ uni mũʲc̚ʔ d̪ɔ͡i̯ gɔʲc̚ʔena.ʔ,a-aʔ lalɔc̚ʔ i̯-ɘt̪ɛ uni muc̚ʔ d̪ɔ-i̯ gɔc̚ʔ-en-a.,a-aʔ | lalɔc̚ʔ | i̯-ɘt̪ɛ | uni | muc̚ʔ | d̪ɔ-i̯ | gɔc̚ʔ-en-a,3SG-GEN | greed | EMPH-because | 3SG.DEM | ant | DET-EMPH | die-M.PST-FIN,Stray closing '.ʔ' removed.
santali_glossed_1.eaf,10,9000,10000,[S2.1] এক বাঘ ও এক শুকর একটা কুয়ার পানি পান করতে গিয়েছিল।,A tiger and a pig went to a well to drink water.,mit̪̚ʔʈɛn t̪ɘɾup̚ʔ aɾ mit̪̚ʔʈɛn suk̚ɾi mit̪̚ʔʈɛn kuɲɾɛː d̪aʔ ɲukin cala͡o̯lɛna.,mit̪ʔ-ʈɛn t̪ɘɾup̚ʔ aɾ mit̪ʔ-ʈɛn suk̚ɾi mit̪ʔ-ʈɛn kuɲ-ɾɛ d̪aʔ ɲu-kin calaʔ-lɛn-a.,mit̪ʔ-ʈɛn | t̪ɘɾup̚ʔ | aɾ | mit̪ʔ-ʈɛn | suk̚ɾi | mit̪ʔ-ʈɛn | kuɲ-ɾɛ | d̪aʔ | ɲu-kin | calaʔ-lɛn-a,one-CLF.HUM | tiger | and | one-CLF.HUM | pig | one-CLF.HUM | well-LOC | water | drink-3DU | go-M.PST.DU-FIN,-kin = 3DU subject index; -lɛn- = middle past dual.
