sentence_id,santali_sentence,english_gloss,bangla_gloss,sentence_type,confidence,source_eaf_file,source_eaf_utterance_id,source_eaf_pattern,source_report_section,dictionary_slots_json,morphology_notes,rejection_risk,synthetic,needs_native_review
LLM-000001,hisạbte,nan,,,medium,santali_mark1_glossed.eaf,34,ɑr uri-ɑkʔ cetʔɑtʔ-ɑkʔ-te-kɔ bʱɑrɔy-enɑ ente ekotɑriɑ-nic lekɑ-e cetʔɑtʔ-kɔɑ,,"[{""slot"": ""prep."", ""headword"": ""hisạbte"", ""pos"": ""prep."", ""english"": ""in accordance with"", ""bangla"": ""অনুসারে / অনুযায়ী"", ""semantic_domain"": ""Relation""}]",,,True,True
LLM-000002,niti,nan,,,medium,santali_glossed_new_2.eaf,124,abo,,"[{""slot"": ""pron."", ""headword"": ""niti"", ""pos"": ""pron."", ""english"": ""none absolutely"", ""bangla"": ""কেউ না"", ""semantic_domain"": ""Grammar""}]",,,True,True
LLM-000003,batar,nan,,,medium,lexicon.eaf,122,panahi,,"[{""slot"": ""n."", ""headword"": ""batar"", ""pos"": ""n."", ""english"": ""Season"", ""bangla"": ""ঋতু"", ""semantic_domain"": ""Time""}]",,,True,True
LLM-000004,imɔn ɑr  imɔn-ren bɔehɑ ɑndreɑ dho̱ṛo̱s,nan,,,medium,santali_mark1_glossed.eaf,26,simɔn ɑr simɔn-ren bɔehɑ ɑndreɑsʔ-te-kin ɟɔreɡɔ-re hɑnde nhɑnde ɟɑl cɑkʔpɑkʔ-kɑne nɛl nɑmke-kɑ-tinɑ,,"[{""slot"": ""prep."", ""headword"": ""dho̱ṛo̱s"", ""pos"": ""prep."", ""english"": ""In consequence of"", ""bangla"": ""ফলে"", ""semantic_domain"": ""Relation""}]",,,True,True
LLM-000005,bo̱ṭe̱c̕,nan,,,medium,santali_glossed_new_3(1).eaf,66,buɖi-gɔ cɛt̪ʔ-lɛka mena-a hɔpɔn-ba,,"[{""slot"": ""conj."", ""headword"": ""bo̱ṭe̱c̕"", ""pos"": ""conj."", ""english"": ""Lest"", ""bangla"": ""পাছে"", ""semantic_domain"": ""Grammar""}]",,,True,True
LLM-000006,gańja,nan,,,medium,matthew_santali_glossed.eaf,12,Mayak'-ko-de-ko bhagan-a ente onko do-ko maya oco-k'-a,,"[{""slot"": ""n."", ""headword"": ""gańja"", ""pos"": ""n."", ""english"": ""Ganja"", ""bangla"": ""গাঁজা"", ""semantic_domain"": ""Plant""}]",,,True,True
LLM-000007,dhạrkạu,nan,,,medium,santali_new_glossed.eaf,22,ɔka-t̪ɛm cala-o̯-le-na,,"[{""slot"": ""v."", ""headword"": ""dhạrkạu"", ""pos"": ""v."", ""english"": ""Force"", ""bangla"": ""জোর করে করা"", ""semantic_domain"": ""Action""}]",,,True,True
LLM-000008,cạukidar,nan,,,medium,santali_matthew_glossed (1).eaf,4,aɾ laɾhai ɾeak' ud̪ãu-ko-pe ahːjom-a,,"[{""slot"": ""n."", ""headword"": ""cạukidar"", ""pos"": ""n."", ""english"": ""Watchman"", ""bangla"": ""প্রহরী"", ""semantic_domain"": ""Occupation""}]",,,True,True
LLM-000009,e̱nrehō̱ hubạg . jaʔ,nan,,,high,santali_glossed_3.eaf,135,baske.jaʔ,,"[{""slot"": ""conj."", ""headword"": ""e̱nrehō̱"", ""pos"": ""conj."", ""english"": ""Although"", ""bangla"": ""যদিও"", ""semantic_domain"": ""Relation""}, {""slot"": ""v."", ""headword"": ""hubạg"", ""pos"": ""v."", ""english"": ""to chop"", ""bangla"": ""কুপিয়ে কাটা"", ""semantic_domain"": ""Action""}]",,,True,True
LLM-000010,tako,nan,,,medium,santali_glossed_2.eaf,36,onko-kʰɔn lɘʈu macʰi cɛ̃ɽɛ̃-jaʔ ɲut̪um d̪ɔ gʰa͡o̯ɽa,,"[{""slot"": ""pron."", ""headword"": ""tako"", ""pos"": ""pron."", ""english"": ""their (in compounds)"", ""bangla"": ""তাদের"", ""semantic_domain"": ""Grammar""}]",,,True,True
