file,annotation_id,annotation_type,tier_id,tier_std,parent_tier,linguistic_type,parent_annotation_id,start_ms,end_ms,value
bangla_sentences_glossed.eaf,a1,ALIGNABLE_ANNOTATION,ref,ref,,utterance,,0,2000,iɲd̪ɔ pʰuʈbɔliɲ gat̪e.a aɾ iɲ bɔ͡i̯ha d̪ɔ kɾikeʈɛ gat̪e.a
bangla_sentences_glossed.eaf,a2,ALIGNABLE_ANNOTATION,ref,ref,,utterance,,2200,4200,alɛ at̪oɾɛ cand̪oɾɛ mit̪̚ʔd̪ʰa͡o̯ seɾeɲ akʰɾa hojo.a mɛnkʰan d̪ald̪apal ho͡i̯lɛnkʰan ai̯͡mad̪in bɔnd̪o t̪ahɛ̃na
bangla_sentences_glossed.eaf,a3,ALIGNABLE_ANNOTATION,ref,ref,,utterance,,4400,6400,nit̪̚ʔ d̪ɔ iɲ ʈʰɛʲc̚ʔ ʈaka bɘnu.a ced̪aʔ ɟe hɔla miʔʈɛn gʰuɽiɲ kiɾiɲakad̪a
bangla_sentences_glossed.eaf,a4,ALIGNABLE_ANNOTATION,ref,ref,,utterance,,6600,8600,d̪aɾe ɾɔhɔ͡i̯ d̪ɔ bʰage kɘmi kana aɾ d̪aɾe ɟɔt̪ɔn hɔ̃ ɟɘɾuɽge̯͡a
bangla_sentences_glossed.eaf,a5,ALIGNABLE_ANNOTATION,ref,ref,,utterance,,8800,10800,iɲ d̪ɔ baske.jaʔ bɘɲ ɟɔmakad̪a ced̪aʔ ɟe iɲ ʈʰɛʲc̚ʔ ʈaka bɘnu.a
bangla_sentences_glossed.eaf,a6,ALIGNABLE_ANNOTATION,ref,ref,,utterance,,11000,13000,iɲ d̪ɔ ɘɖi gʰɘɽiʲc̚ʔiɲ t̪ɘŋgi.jakadi̯͡a t̪a͡o̯hɔ̃ bɘɲ ɲɛlɛkana
bangla_sentences_glossed.eaf,a7,ALIGNABLE_ANNOTATION,ref,ref,,utterance,,13200,15200,uni sã͡o̯t̪ɛ iɲaʔ sɔmpɔɾkɔ baŋ bʰage̯͡a mɛnkʰan iɲ d̪ɔ uniɲ man manɔt̪e̯͡a
bangla_sentences_glossed.eaf,a8,ALIGNABLE_ANNOTATION,ref,ref,,utterance,,15400,17400,uni hɔɽ d̪ɔ͡i̯ kisɘ̃ɽɾɛhɔ̃͡i̯ suk̚ bɘnuʔt̪a.ja
bangla_sentences_glossed.eaf,a9,ALIGNABLE_ANNOTATION,ref,ref,,utterance,,17600,19600,alɛd̪ɔ pʰuʈbɔl gat̪elɛ cala͡o̯lena gaɖaɾɛlɛ ɖɘbɾɘ͡i̯ĕna inɘ t̪a.jɔm ɔɽaʔɾɛ hɛʲc̚ʔ kat̪ɛ ɟɔɟɔmlɛ d̪uɽup̚ʔĕna
bangla_sentences_glossed.eaf,a10,ALIGNABLE_ANNOTATION,ref,ref,,utterance,,19800,21800,iɲaʔ nao̯͡a iskul d̪ɔ ɘɖi mɔ̃ːɟa mɛnkʰan ɔna d̪ɔ alɛ ɔɽaʔkʰɔʲc̚ʔ ɘɖi sɘŋgiɲa
