dataset_file,generated_id,generated_santali,generated_english,generated_bangla,best_gt_source,best_gt_id,best_gt_santali,best_gt_english,best_gt_bangla,combined_score,english_word_score,english_overlap_score,bangla_overlap_score,santali_overlap_score,content_word_overlap,content_jaccard,exact_santali_match,exact_english_match,exact_bangla_match,strict_reviewable,weak_auto_match
santali_synthetic_40k_sentences.csv,SYN-00001,ona dɔ ḍhapaṛ ro̱n kuhṛạ kan-a,That is a flapping fog.,ওটা ঝাপটানো কুয়াশা।,output_layoutA (1).csv,114,okoi oɾae kan-a,Whose house is this?,,0.1890,0.0000,0.0000,0.0000,0.3780,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00006,abo dɔ dhạrti-re kạsi kan-a,we do to castrate in/at universe.,আমরা বিশ্বব্রহ্মাণ্ড-তে খাসি করা।,Santali_dataset_parsed.csv,1754,um ɖɘb̚ɾɘʔ,To Take A Bath,গোসল করা,0.2846,0.0000,0.0000,0.3162,0.0000,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00008,ona dɔ ba-ŋ dacaṅ kan-a,That is not ubiquitous.,ওটা সর্বত্রব্যাপী নয়।,output_layoutA (1).csv,55,ba-e ɾesʔk kan-a,He isn't happy.,,0.2535,0.0000,0.0000,0.0000,0.5071,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00009,guric̕ mande-re sṛsa banuʔ-a,There is no plea in/at midden.,আবর্জনার স্তূপ-তে যুক্তি নেই।,Santali_dataset_parsed.csv,689,baŋ ceka.a.,Officer: No problem.,অফিসার: অসুবিধা নেই।,0.2324,0.0000,0.0000,0.2582,0.2357,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00013,nɔa dɔ dho̱mo̱k dharapkiạ kan-a,This is a haughty receptacle for sindur.,এটা অহংকারী সিঁদুরের পাত্র।,Santali_dataset_parsed.csv,607,nɔ̯͡a d̪ɔ ɘɖit̪ɛt̪̚ʔ bɘɽiʲc̚ʔ kɘmi kana.,It's a heinous work.,এটা একটা জঘন্য কাজ।,0.2250,0.0000,0.0000,0.2500,0.0000,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00017,ona dɔ aṅgur biṛhi kan-a,"That is whitlow, a.",ওটা আঙুলের ফোঁড়া।,output_layoutA (1).csv,114,okoi oɾae kan-a,Whose house is this?,,0.2041,0.0000,0.0000,0.0000,0.4082,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00022,aṅgo̱p̕ me,"Please yawn, to.",হাই তোলা।,output_layoutB (1).csv,20,"mobaĭl-t̪ɛ seɾeɲ aɲɟɔm-ɔʔ-a, pʰɔʈɔ ɾakab-ɔʔ-a, senema aɾ naʈɔk̚ ɲɛl-ɔ-a.","Mobile can be used to listen to music, take pictures and watch movies.","[S3.3] মোবাইলে গান শোনা যায়, ছবি তোলা যায়, সিনেমা ও নাটক দেখা যায়।",0.1837,0.0000,0.0000,0.2041,0.0000,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00025,alɔ-m mahkao-a,Do not to emit a perfume.,সুগন্ধ ছড়ানো না।,output_layoutA (1).csv,59,laŋga-a-m,You'll get tired.,,0.2887,0.0000,0.0000,0.0000,0.5774,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00026,nɔa dɔ ba-ŋ ḍhiso ḍhoro kan-a,This is not unwashed.,এটা অধোয়া নয়।,Santali_dataset_parsed.csv,607,nɔ̯͡a d̪ɔ ɘɖit̪ɛt̪̚ʔ bɘɽiʲc̚ʔ kɘmi kana.,It's a heinous work.,এটা একটা জঘন্য কাজ।,0.2598,0.0000,0.0000,0.2887,0.0000,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00027,am dɔ pasṛa-re pańca kan-a,you do to borrow in/at smithy.,তুমি কামারশালা-তে ধার করা।,Santali_dataset_parsed.csv,247,amɛm ɲɛlɛt̪̚ʔkan t̪ahɛ̃na.,You were watching.,তুমি দেখতেছিলে,0.2846,0.0000,0.0000,0.3162,0.0000,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00029,gaḍha sot-re kạhtuk banuʔ-a,There is no traditional lore in/at ravines & hollows.,খাঁড়া ও গর্ত-তে ঐতিহ্যবাহী জ্ঞান নেই।,Santali_dataset_parsed.csv,689,baŋ ceka.a.,Officer: No problem.,অফিসার: অসুবিধা নেই।,0.1964,0.0000,0.0000,0.2182,0.2357,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00046,nɔa dɔ ṭupri dɔ ba-ŋ kan-a,This is not cap.,এটা টুপি নয়।,Santali_dataset_parsed.csv,607,nɔ̯͡a d̪ɔ ɘɖit̪ɛt̪̚ʔ bɘɽiʲc̚ʔ kɘmi kana.,It's a heinous work.,এটা একটা জঘন্য কাজ।,0.2598,0.0000,0.0000,0.2887,0.0000,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00047,am-aʔ mit't'e mạṭku minaʔ,you have one squab.,তুমি একটি কবুতরের ছানা আছে।,Santali_dataset_parsed.csv,247,amɛm ɲɛlɛt̪̚ʔkan t̪ahɛ̃na.,You were watching.,তুমি দেখতেছিলে,0.2846,0.0000,0.0000,0.3162,0.0000,0,0.0000,false,false,false,false,false
