file,utterance_id,root_annotation_id,root_tier,start_ms,end_ms,ref,mb,gl,ft,ipa,bangla,english,ipa_original,ipa_normalized,segmentation,gloss,notes,all_tiers_json
bangla_sentences_glossed.eaf,1,a1,ref,0,2000,iɲd̪ɔ pʰuʈbɔliɲ gat̪e.a aɾ iɲ bɔ͡i̯ha d̪ɔ kɾikeʈɛ gat̪e.a,iɲ-d̪ɔ pʰuʈbɔl-iɲ gat̪e-a aɾ iɲ bɔ͡i̯ha-d̪ɔ kɾikeʈ-ɛ gat̪e-a,1SG-TOP football-OBJ play-FIN and 1SG brother-TOP cricket-LOC play-FIN,I play football and my brother plays cricket.,,,,,,,,,"{""ft"": [""I play football and my brother plays cricket.""], ""gl"": [""1SG-TOP football-OBJ play-FIN and 1SG brother-TOP cricket-LOC play-FIN""], ""mb"": [""iɲ-d̪ɔ pʰuʈbɔl-iɲ gat̪e-a aɾ iɲ bɔ͡i̯ha-d̪ɔ kɾikeʈ-ɛ gat̪e-a""], ""ref"": [""iɲd̪ɔ pʰuʈbɔliɲ gat̪e.a aɾ iɲ bɔ͡i̯ha d̪ɔ kɾikeʈɛ gat̪e.a""]}"
bangla_sentences_glossed.eaf,2,a2,ref,2200,4200,alɛ at̪oɾɛ cand̪oɾɛ mit̪̚ʔd̪ʰa͡o̯ seɾeɲ akʰɾa hojo.a mɛnkʰan d̪ald̪apal ho͡i̯lɛnkʰan ai̯͡mad̪in bɔnd̪o t̪ahɛ̃na,alɛ at̪o-ɾɛ cand̪o-ɾɛ mit̪̚ʔ-d̪ʰa͡o̯ seɾeɲ akʰɾa hojo-a mɛnkʰan d̪al-d̪apal ho͡i̯-lɛn-kʰan ai̯͡ma-d̪in bɔnd̪o t̪ahɛ̃-n-a,1PL.EXCL locality-LOC month-LOC one-time song gathering become-FIN but fight-fight happen-COND-COND many-day closed stay-TR-FIN,"In our neighbourhood a music session is held every month, but whenever a fight breaks out, it gets closed for many days.",,,,,,,,,"{""ft"": [""In our neighbourhood a music session is held every month, but whenever a fight breaks out, it gets closed for many days.""], ""gl"": [""1PL.EXCL locality-LOC month-LOC one-time song gathering become-FIN but fight-fight happen-COND-COND many-day closed stay-TR-FIN""], ""mb"": [""alɛ at̪o-ɾɛ cand̪o-ɾɛ mit̪̚ʔ-d̪ʰa͡o̯ seɾeɲ akʰɾa hojo-a mɛnkʰan d̪al-d̪apal ho͡i̯-lɛn-kʰan ai̯͡ma-d̪in bɔnd̪o t̪ahɛ̃-n-a""], ""ref"": [""alɛ at̪oɾɛ cand̪oɾɛ mit̪̚ʔd̪ʰa͡o̯ seɾeɲ akʰɾa hojo.a mɛnkʰan d̪ald̪apal ho͡i̯lɛnkʰan ai̯͡mad̪in bɔnd̪o t̪ahɛ̃na""]}"
bangla_sentences_glossed.eaf,3,a3,ref,4400,6400,nit̪̚ʔ d̪ɔ iɲ ʈʰɛʲc̚ʔ ʈaka bɘnu.a ced̪aʔ ɟe hɔla miʔʈɛn gʰuɽiɲ kiɾiɲakad̪a,nit̪̚ʔ d̪ɔ iɲ ʈʰɛʲc̚ʔ ʈaka bɘn-u-a ced̪aʔ ɟe hɔla mit̪̚ʔ-ɛn gʰuɽi-iɲ kiɾiɲ-ak-ad̪-a,now TOP 1SG hand.LOC money NEG-1SG.SUBJ-FIN because COMP yesterday one-OBL watch-OBJ buy-PFV-PST-FIN,I don't have money right now because I bought a watch yesterday.,,,,,,,,,"{""ft"": [""I don't have money right now because I bought a watch yesterday.""], ""gl"": [""now TOP 1SG hand.LOC money NEG-1SG.SUBJ-FIN because COMP yesterday one-OBL watch-OBJ buy-PFV-PST-FIN""], ""mb"": [""nit̪̚ʔ d̪ɔ iɲ ʈʰɛʲc̚ʔ ʈaka bɘn-u-a ced̪aʔ ɟe hɔla mit̪̚ʔ-ɛn gʰuɽi-iɲ kiɾiɲ-ak-ad̪-a""], ""ref"": [""nit̪̚ʔ d̪ɔ iɲ ʈʰɛʲc̚ʔ ʈaka bɘnu.a ced̪aʔ ɟe hɔla miʔʈɛn gʰuɽiɲ kiɾiɲakad̪a""]}"
bangla_sentences_glossed.eaf,4,a4,ref,6600,8600,d̪aɾe ɾɔhɔ͡i̯ d̪ɔ bʰage kɘmi kana aɾ d̪aɾe ɟɔt̪ɔn hɔ̃ ɟɘɾuɽge̯͡a,d̪aɾe ɾɔhɔ͡i̯ d̪ɔ bʰage kɘmi kan-a aɾ d̪aɾe ɟɔt̪ɔn hɔ̃ ɟɘɾuɽ-ge-a,tree plant TOP good work COP.PROG-FIN and tree care also necessary-EMPH-FIN,Planting trees is good and taking care of trees is also necessary.,,,,,,,,,"{""ft"": [""Planting trees is good and taking care of trees is also necessary.""], ""gl"": [""tree plant TOP good work COP.PROG-FIN and tree care also necessary-EMPH-FIN""], ""mb"": [""d̪aɾe ɾɔhɔ͡i̯ d̪ɔ bʰage kɘmi kan-a aɾ d̪aɾe ɟɔt̪ɔn hɔ̃ ɟɘɾuɽ-ge-a""], ""ref"": [""d̪aɾe ɾɔhɔ͡i̯ d̪ɔ bʰage kɘmi kana aɾ d̪aɾe ɟɔt̪ɔn hɔ̃ ɟɘɾuɽge̯͡a""]}"
bangla_sentences_glossed.eaf,5,a5,ref,8800,10800,iɲ d̪ɔ baske.jaʔ bɘɲ ɟɔmakad̪a ced̪aʔ ɟe iɲ ʈʰɛʲc̚ʔ ʈaka bɘnu.a,iɲ d̪ɔ baske-jaʔ bɘɲ ɟɔm-ak-ad̪-a ced̪aʔ ɟe iɲ ʈʰɛʲc̚ʔ ʈaka bɘn-u-a,1SG TOP morning-GEN NEG eat-PFV-PST-FIN because COMP 1SG hand.LOC money NEG-1SG.SUBJ-FIN,I have not had breakfast because I don't have money.,,,,,,,,,"{""ft"": [""I have not had breakfast because I don't have money.""], ""gl"": [""1SG TOP morning-GEN NEG eat-PFV-PST-FIN because COMP 1SG hand.LOC money NEG-1SG.SUBJ-FIN""], ""mb"": [""iɲ d̪ɔ baske-jaʔ bɘɲ ɟɔm-ak-ad̪-a ced̪aʔ ɟe iɲ ʈʰɛʲc̚ʔ ʈaka bɘn-u-a""], ""ref"": [""iɲ d̪ɔ baske.jaʔ bɘɲ ɟɔmakad̪a ced̪aʔ ɟe iɲ ʈʰɛʲc̚ʔ ʈaka bɘnu.a""]}"
bangla_sentences_glossed.eaf,6,a6,ref,11000,13000,iɲ d̪ɔ ɘɖi gʰɘɽiʲc̚ʔiɲ t̪ɘŋgi.jakadi̯͡a t̪a͡o̯hɔ̃ bɘɲ ɲɛlɛkana,iɲ d̪ɔ ɘɖi gʰɘɽi-ʲc̚ʔ-iɲ t̪ɘŋgi.j-ak-adi̯͡a t̪a͡o̯-hɔ̃ bɘɲ ɲɛlɛ-kan-a,1SG TOP very hour-ABL-OBJ sit-PFV-PST.1SG still-also NEG see-PROG-FIN,I have been sitting for a long time but there is still no sign of him.,,,,,,,,,"{""ft"": [""I have been sitting for a long time but there is still no sign of him.""], ""gl"": [""1SG TOP very hour-ABL-OBJ sit-PFV-PST.1SG still-also NEG see-PROG-FIN""], ""mb"": [""iɲ d̪ɔ ɘɖi gʰɘɽi-ʲc̚ʔ-iɲ t̪ɘŋgi.j-ak-adi̯͡a t̪a͡o̯-hɔ̃ bɘɲ ɲɛlɛ-kan-a""], ""ref"": [""iɲ d̪ɔ ɘɖi gʰɘɽiʲc̚ʔiɲ t̪ɘŋgi.jakadi̯͡a t̪a͡o̯hɔ̃ bɘɲ ɲɛlɛkana""]}"
bangla_sentences_glossed.eaf,7,a7,ref,13200,15200,uni sã͡o̯t̪ɛ iɲaʔ sɔmpɔɾkɔ baŋ bʰage̯͡a mɛnkʰan iɲ d̪ɔ uniɲ man manɔt̪e̯͡a,uni sã͡o̯t̪ɛ iɲ-aʔ sɔmpɔɾkɔ baŋ bʰage-a mɛnkʰan iɲ d̪ɔ uni-iɲ man manɔ-t̪e-a,3SG with 1SG-GEN relationship NEG good-FIN but 1SG TOP 3SG-OBJ respect honour-APPL-FIN,"Although I don't have a good relationship with him, I respect him.",,,,,,,,,"{""ft"": [""Although I don't have a good relationship with him, I respect him.""], ""gl"": [""3SG with 1SG-GEN relationship NEG good-FIN but 1SG TOP 3SG-OBJ respect honour-APPL-FIN""], ""mb"": [""uni sã͡o̯t̪ɛ iɲ-aʔ sɔmpɔɾkɔ baŋ bʰage-a mɛnkʰan iɲ d̪ɔ uni-iɲ man manɔ-t̪e-a""], ""ref"": [""uni sã͡o̯t̪ɛ iɲaʔ sɔmpɔɾkɔ baŋ bʰage̯͡a mɛnkʰan iɲ d̪ɔ uniɲ man manɔt̪e̯͡a""]}"
bangla_sentences_glossed.eaf,8,a8,ref,15400,17400,uni hɔɽ d̪ɔ͡i̯ kisɘ̃ɽɾɛhɔ̃͡i̯ suk̚ bɘnuʔt̪a.ja,uni hɔɽ d̪ɔ͡i̯ kisɘ̃ɽ-ɾɛ-hɔ̃͡i̯ suk̚ bɘnuʔ-t̪a-ja,3SG person TOP wealth-LOC-even happiness NEG.exist-3SG-FIN,That man is rich but unhappy.,,,,,,,,,"{""ft"": [""That man is rich but unhappy.""], ""gl"": [""3SG person TOP wealth-LOC-even happiness NEG.exist-3SG-FIN""], ""mb"": [""uni hɔɽ d̪ɔ͡i̯ kisɘ̃ɽ-ɾɛ-hɔ̃͡i̯ suk̚ bɘnuʔ-t̪a-ja""], ""ref"": [""uni hɔɽ d̪ɔ͡i̯ kisɘ̃ɽɾɛhɔ̃͡i̯ suk̚ bɘnuʔt̪a.ja""]}"
bangla_sentences_glossed.eaf,9,a9,ref,17600,19600,alɛd̪ɔ pʰuʈbɔl gat̪elɛ cala͡o̯lena gaɖaɾɛlɛ ɖɘbɾɘ͡i̯ĕna inɘ t̪a.jɔm ɔɽaʔɾɛ hɛʲc̚ʔ kat̪ɛ ɟɔɟɔmlɛ d̪uɽup̚ʔĕna,alɛ-d̪ɔ pʰuʈbɔl gat̪e-lɛ cala͡o̯-lena gaɖa-ɾɛ-lɛ ɖɘbɾɘ͡i̯-ĕna inɘ t̪a.jɔm ɔɽaʔ-ɾɛ hɛʲc̚ʔ kat̪ɛ ɟɔɟɔm-lɛ d̪uɽup̚ʔ-ĕna,1PL.EXCL-TOP football play-PST.PL go-1PL.PST river-LOC-PST.PL bathe-1PL.PST then after home-LOC arrive after eat-PST.PL sit-1PL.PST,"We went to play football, bathed in the river, then came home and sat to eat.",,,,,,,,,"{""ft"": [""We went to play football, bathed in the river, then came home and sat to eat.""], ""gl"": [""1PL.EXCL-TOP football play-PST.PL go-1PL.PST river-LOC-PST.PL bathe-1PL.PST then after home-LOC arrive after eat-PST.PL sit-1PL.PST""], ""mb"": [""alɛ-d̪ɔ pʰuʈbɔl gat̪e-lɛ cala͡o̯-lena gaɖa-ɾɛ-lɛ ɖɘbɾɘ͡i̯-ĕna inɘ t̪a.jɔm ɔɽaʔ-ɾɛ hɛʲc̚ʔ kat̪ɛ ɟɔɟɔm-lɛ d̪uɽup̚ʔ-ĕna""], ""ref"": [""alɛd̪ɔ pʰuʈbɔl gat̪elɛ cala͡o̯lena gaɖaɾɛlɛ ɖɘbɾɘ͡i̯ĕna inɘ t̪a.jɔm ɔɽaʔɾɛ hɛʲc̚ʔ kat̪ɛ ɟɔɟɔmlɛ d̪uɽup̚ʔĕna""]}"
bangla_sentences_glossed.eaf,10,a10,ref,19800,21800,iɲaʔ nao̯͡a iskul d̪ɔ ɘɖi mɔ̃ːɟa mɛnkʰan ɔna d̪ɔ alɛ ɔɽaʔkʰɔʲc̚ʔ ɘɖi sɘŋgiɲa,iɲ-aʔ nao̯͡a iskul d̪ɔ ɘɖi mɔ̃ːɟ-a mɛnkʰan ɔna d̪ɔ alɛ ɔɽaʔ-kʰɔʲc̚ʔ ɘɖi sɘŋgi-ɲ-a,1SG-GEN new school TOP very beautiful-FIN but that TOP 1PL.EXCL home-ABL very far-INTR-FIN,"My new school is very nice, but it is very far from my home.",,,,,,,,,"{""ft"": [""My new school is very nice, but it is very far from my home.""], ""gl"": [""1SG-GEN new school TOP very beautiful-FIN but that TOP 1PL.EXCL home-ABL very far-INTR-FIN""], ""mb"": [""iɲ-aʔ nao̯͡a iskul d̪ɔ ɘɖi mɔ̃ːɟ-a mɛnkʰan ɔna d̪ɔ alɛ ɔɽaʔ-kʰɔʲc̚ʔ ɘɖi sɘŋgi-ɲ-a""], ""ref"": [""iɲaʔ nao̯͡a iskul d̪ɔ ɘɖi mɔ̃ːɟa mɛnkʰan ɔna d̪ɔ alɛ ɔɽaʔkʰɔʲc̚ʔ ɘɖi sɘŋgiɲa""]}"
