sentence_id,santali_sentence,english_gloss,bangla_gloss,sentence_type,confidence,source_eaf_file,source_eaf_utterance_id,source_eaf_pattern,source_report_section,dictionary_slots_json,morphology_notes,rejection_risk,synthetic,needs_native_review
LLM-000001,bandho̱n,nan,,,medium,matthew_santali_glossed_ipa.eaf,31,ɑd̪ɔ buru kʰɔn-e ɑrd̪-ɔye-n kʰɑn ɑd̪i ɡɑd̪el hɔr-kɔ pɑɲd͡ʒɑ-ke-d̪ɑ,,"[{""slot"": ""v."", ""headword"": ""bandho̱n"", ""pos"": ""v."", ""english"": ""Charm, to exorcise"", ""bangla"": ""মন্ত্রপড়া, ভূত তাড়ানো"", ""semantic_domain"": ""Occult""}]",,,True,True
LLM-000002,ma . ạphim,nan,,,medium,lexicon(1).eaf,109,ma.jam,,"[{""slot"": ""n."", ""headword"": ""ạphim"", ""pos"": ""n."", ""english"": ""Opium"", ""bangla"": ""আফিম"", ""semantic_domain"": ""Substance""}]",,,True,True
LLM-000003,Alo-pe bujhaua an  sabo̱l,nan,,,medium,matthew_santali_glossed.eaf,19,Alo-pe bujhaua an se nabi-ko-ak' katha mautai-a menkhat hec'-a-kan-a,,"[{""slot"": ""n."", ""headword"": ""sabo̱l"", ""pos"": ""n."", ""english"": ""iron crowbar"", ""bangla"": ""শাবল"", ""semantic_domain"": ""Tool""}]",,,True,True
LLM-000004,bhãoṭia,nan,,,medium,santali_bangla_glossed.eaf,6,at̪o-ɾɛn gid̪ɾɘku-d̪ɔ d̪aʔ aɾɛc̚ʔ-kat̪ɛ haku-ku gɔc̚ʔ-ko-a,,"[{""slot"": ""n."", ""headword"": ""bhãoṭia"", ""pos"": ""n."", ""english"": ""A species of antelope"", ""bangla"": ""এক প্রজাতির হরিণ"", ""semantic_domain"": ""Animal""}]",,,True,True
LLM-000005,mutul,nan,,,medium,santali_glossed_2.eaf,35,ɲɛl-kat̪ɛ-m mɛn-kɛ-a ɛnɛɟ-ɔʔ-t̪i-gi mɛnaʔ-ko-a,,"[{""slot"": ""n."", ""headword"": ""mutul"", ""pos"": ""n."", ""english"": ""gable of a house"", ""bangla"": ""ঘরের চূড়া"", ""semantic_domain"": ""Construction""}]",,,True,True
LLM-000006,ut̪u-ɾɛ ɟʰal ɟɘ laha,nan,,,medium,santali_new_glossed.eaf,60,ut̪u-ɾɛ ɟʰal ɟɘst̪i-je-na,,"[{""slot"": ""prep."", ""headword"": ""laha"", ""pos"": ""prep."", ""english"": ""in front of"", ""bangla"": ""সামনে"", ""semantic_domain"": ""Place""}]",,,True,True
LLM-000007,o̱jo̱k̕,nan,,,medium,matthew_santali_glossed.eaf,16,Bhagan-ge-ape ini iate hor-ko kadhao-le-pe-re ar-ko khed-le-pe-re,,"[{""slot"": ""v."", ""headword"": ""o̱jo̱k̕"", ""pos"": ""v."", ""english"": ""to anoint"", ""bangla"": ""তেল মালিশ করা"", ""semantic_domain"": ""Action""}]",,,True,True
LLM-000008,t̪o . jo-ma  ạidạri . ja-d̪ea ced̪aʔ ɟe alɛ d̪ɔ t̪o . jo-lɛka ba-lɛ d̪ɘɽ d̪aɽe . ja-ʔa,nan,,,medium,santali_glossed_new_2.eaf,21,t̪o.jo-ma sim-ɛ ɘt̪kiɾ id̪i kid̪i mɛn-kʰan alɛ d̪ɔ cɛt̪ʔ-hɔ̃ ba-lɛ cɛka d̪aɽe.ja-d̪ea ced̪aʔ ɟe alɛ d̪ɔ t̪o.jo-lɛka ba-lɛ d̪ɘɽ d̪aɽe.ja-ʔa,,"[{""slot"": ""n."", ""headword"": ""ạidạri"", ""pos"": ""n."", ""english"": ""Inheritance"", ""bangla"": ""উত্তরাধিকার"", ""semantic_domain"": ""Law""}]",,,True,True
LLM-000009,khuṇṭi ocjon-a,nan,,,medium,matthew_santali_glossed.eaf,26,Cotren udau-k-ko benget-ak'-o-pe ba-ko era ba-ko ira ar murai-kore ba-ko socjon-a,,"[{""slot"": ""n."", ""headword"": ""khuṇṭi"", ""pos"": ""n."", ""english"": ""post"", ""bangla"": ""ডাকঘর / পোস্ট"", ""semantic_domain"": ""Communication""}]",,,True,True
LLM-000010,Dhorom iate khed o o-k'-kan-ko ge-ko bhagan-a ente  bhul bisor,nan,,,medium,matthew_santali_glossed.eaf,15,Dhorom iate khed oso-k'-kan-ko ge-ko bhagan-a ente serma raj do onko-ak-an-gea,,"[{""slot"": ""n."", ""headword"": ""bhul bisor"", ""pos"": ""n."", ""english"": ""Faults"", ""bangla"": ""ত্রুটি"", ""semantic_domain"": ""State""}]",,,True,True
LLM-000011,iɲ d̪i maraṅ buru apʔ kat̪ɛ mɛla-ɲ cal-aʔ-kan t̪ahɛ̃-n-a,nan,,,medium,santali_glossed_dialogues.eaf,56,iɲ d̪isɘ͡i̯-d̪-a kɘʈiʲcʔ-ɾɛ iɲ-d̪ɔ iɲ-baba-o-aʔ t̪i sapʔ kat̪ɛ mɛla-ɲ cal-aʔ-kan t̪ahɛ̃-n-a,,"[{""slot"": ""n."", ""headword"": ""maraṅ buru"", ""pos"": ""n."", ""english"": ""Paresnath"", ""bangla"": ""পারসনাথ"", ""semantic_domain"": ""Religion""}]",,,True,True
LLM-000012,bo̱ṭe̱c̕,nan,,,medium,lexicon.eaf,232,haɽam-ba,,"[{""slot"": ""conj."", ""headword"": ""bo̱ṭe̱c̕"", ""pos"": ""conj."", ""english"": ""Lest"", ""bangla"": ""পাছে"", ""semantic_domain"": ""Grammar""}]",,,True,True
LLM-000013,miʔ-hɔɽ  sṛsa,nan,,,medium,santali_dialogues_glossed.eaf,56,miʔ-hɔɽ sã͡o-t̪ɛ aɾ miʔ hɔɽ d̪ɔ alo-pɛ ɟuɾi-kin-ɘ,,"[{""slot"": ""n."", ""headword"": ""sṛsa"", ""pos"": ""n."", ""english"": ""plea"", ""bangla"": ""যুক্তি"", ""semantic_domain"": ""Law""}]",,,True,True
LLM-000014,Ar aleak' do aben calạki,nan,,,high,matthew_santali_glossed.eaf,24,Ar aleak' dos-ko ikakat-a-len cet-e-leka ale ho aleak' dodos-ko-le ikakat'-ta-ko,,"[{""slot"": ""pron."", ""headword"": ""aben"", ""pos"": ""pron."", ""english"": ""You"", ""bangla"": ""তুমি/আপনি"", ""semantic_domain"": ""Pronoun""}, {""slot"": ""n."", ""headword"": ""calạki"", ""pos"": ""n."", ""english"": ""Deception"", ""bangla"": ""প্রতারণা"", ""semantic_domain"": ""Behavior""}]",,,True,True
LLM-000015,bod . j-a,nan,,,medium,santali_glossed_new.eaf,77,ɖaŋɾa-i̯ t̪ahɛn-kʰan abo uni ʈʰɛn-kʰɔn t̪o̯͡a-bon ɲu d̪aɽe-ke.j-a,,"[{""slot"": ""v."", ""headword"": ""bod"", ""pos"": ""v."", ""english"": ""Pacify"", ""bangla"": ""শান্ত করা"", ""semantic_domain"": ""Action""}]",,,True,True
LLM-000016,chaṛ,nan,,,medium,lexicon(1).eaf,138,bana,,"[{""slot"": ""n."", ""headword"": ""chaṛ"", ""pos"": ""n."", ""english"": ""Permit"", ""bangla"": ""পাস"", ""semantic_domain"": ""Social""}]",,,True,True
LLM-000017,aṛa,nan,,,medium,lexicon.eaf,180,baha,,"[{""slot"": ""n."", ""headword"": ""aṛa"", ""pos"": ""n."", ""english"": ""Flock, a"", ""bangla"": ""পাল, ঝাঁক"", ""semantic_domain"": ""Nature""}]",,,True,True
LLM-000018,kulại ho̱po̱n,nan,,,medium,santali_glossed_dialogues.eaf,51,no̯a-ko kɘmi d̪ɔ gid̪ɾɘ-ko-gi-ku kɘmi-ja,,"[{""slot"": ""n."", ""headword"": ""kulại ho̱po̱n"", ""pos"": ""n."", ""english"": ""leveret"", ""bangla"": ""খরগোশের বাচ্চা"", ""semantic_domain"": ""Animal""}]",,,True,True
LLM-000019,batori,nan,,,medium,lexicon(1).eaf,122,panahi,,"[{""slot"": ""n."", ""headword"": ""batori"", ""pos"": ""n."", ""english"": ""Cystic tumour"", ""bangla"": ""সিস্ট টিউমার"", ""semantic_domain"": ""Health""}]",,,True,True
LLM-000020,anec̕ ɔi,nan,,,medium,santali_dialogues_glossed.eaf,35,ba-lɛ baɖ-a-ja mahasɔi,,"[{""slot"": ""conj."", ""headword"": ""anec̕"", ""pos"": ""conj."", ""english"": ""Unless"", ""bangla"": ""যদি না"", ""semantic_domain"": ""Grammar""}]",,,True,True
LLM-000021,d̪inɘm-hilɘʔ  dak̕ so̱sro̱c̕,nan,,,medium,santali_glossed_2.eaf,31,d̪inɘm-hilɘʔ set̪aʔ-ɾɛ cɛ̃ɽɛ̃-ko-aʔ cɛɾɔbɛɾɔ aɲɟɔm-t̪ɛ alɛ d̪ɔ-lɛ ɛbʰɛn-ɔʔ-a,,"[{""slot"": ""n."", ""headword"": ""dak̕ so̱sro̱c̕"", ""pos"": ""n."", ""english"": ""A kind of insect"", ""bangla"": ""এক ধরনের পোকা"", ""semantic_domain"": ""Animal""}]",,,True,True
LLM-000022,aɖɛ-pa e | ɾe-aʔ | i gạli . j-ɔʔ-t̪a-bon-a,Arka: We have to go to the nearby schools.,,,medium,santali_glossed_1.eaf,99,aɖɛ-pase | ɾe-aʔ | iskul-ko-ɾɛ | abu | calaʔ | ho.j-ɔʔ-t̪a-bon-a,,"[{""slot"": ""n."", ""headword"": ""gạli"", ""pos"": ""n."", ""english"": ""Loop"", ""bangla"": ""ফাঁস"", ""semantic_domain"": ""Object""}]",,,True,True
LLM-000023,mano̯͡a t̪inɘʔ-ko ɟɘ cinhạ muṇḍạ,nan,,,medium,santali_new_glossed (1).eaf,32,mano̯͡a t̪inɘʔ-ko ɟɘsti-ʔkana biɾ unɘʔ t̪ʰɔɽa-ʔkana,,"[{""slot"": ""n."", ""headword"": ""cinhạ muṇḍạ"", ""pos"": ""n."", ""english"": ""Proof"", ""bangla"": ""প্রমাণ"", ""semantic_domain"": ""Law""}]",,,True,True
