bangla,english,santali
স্কুলটি নতুন।,The school is new.,iskul d̪ɔ nɔwaa.
সে পাঠ পড়বে।,He/she will study the lesson.,uni d̪ɔ sikʰnɘt̪ paɽha͡o̯a.
সে মারা যাচ্ছে।,He/she is dying.,unii̯ gɔc̚ʔɛd̪a.
তুমি কথা লিখেছ।,You have written the word.,am d̪ɔ kat̪ʰa ɔlɔʔakada.
পাঠটি নতুন।,The lesson is new.,sikʰnɘt̪ d̪ɔ nɔwaa.
অতিরিক্ত খাজনাটি পরিষ্কার।,The additional assessment on rent is clean.,bʰed͡ʒa d̪ɔ sapʰaa.
ইংল্যান্ডে একটি শব্দ আছে।,There is a noise in the england.,bilətɾɛ awad͡ʒ menaa.
গ্রামে একটি টাকা আছে।,There is a money in the village.,at̪oɾɛ ʈaka menaa.
সতর্কবাণীটি গুরুত্বপূর্ণ।,The alarm is important.,bʰāe d̪ɔ ɟɘɾuɽa.
একটি রান্না স্কুলে আছে।,One cooked food is in the school.,mit̪ʔ basaŋ d̪ɔ iskulɾɛ menaa.
আমাদের মোবাইল ফোন গুরুত্বপূর্ণ।,Our mobile phone is important.,alɛaʔ mɔbaĭl pʰon d̪ɔ ɟɘɾuɽa.
দয়া করে কুয়ায় যাও।,Please go to the well.,d̪a.ja kat̪ɛ kuɲɾɛ calaʔmɛ.
আমি মাছ বিক্রি করেছিলাম।,I sold the fish.,iɲiɲ haku ɘkʰɾiɲkeda.
একটি শিশু কুয়ায় আছে।,One child is in the well.,mit̪ʔʈɛn gid̪ɾɘ d̪ɔ kuɲɾɛ menaa.
তুমি দুধ ও পানি পান করবে।,You will drink the milk and the water.,am d̪ɔ t̪o̯͡a aɾ d̪aʔ ɲua.
আমি ঔষধ কিনব না।,I do not buy the medicine.,iɲ d̪ɔ ɾan bɘɲ kiɾiɲa.
সে ডাক্তার সাহায্য করবে না।,He/she does not help the doctor.,uni d̪ɔ ɖak̚t̪aɾ bai̯ gɔɽɔa.
আমাদের ভাষা নতুন।,Our language is new.,alɛaʔ bʰaka d̪ɔ nɔwaa.
আমি খাবার ও ঔষধ কিনব।,I will buy the food and the medicine.,iɲ d̪ɔ ɟɔmaʔ aɾ ɾan kiɾiɲa.
তোমরা ভাষা বলবে না।,You all do not speak the language.,apɛ d̪ɔ pɘɾsi bapɛ ɾɔɽa.
সে বিদ্যুৎ দেখবে না।,He/she does not see the lightning.,uni d̪ɔ bid͡ʒli bai̯ ɲɛla.
তারা টাকা পেয়েছিল।,They got the money.,oŋkoko ʈaka ɲamkeda.
তুমি টাকা পাবে না।,You do not get the money.,am d̪ɔ ʈaka bam ɲama.
সে কথা লিখেছিল।,He/she wrote the word.,unii̯ kat̪ʰa ɔlɔʔkeda.
তোমরা ঔষধ কিনবে।,You all will buy the medicine.,apɛ d̪ɔ ɾan kiɾiɲa.
উঠানে একটি সন্ধ্যাকাল আছে।,There is an eventide in the courtyard of house.,bəteɾɛ əjup̕ pajaɾ menaa.
বিড়ালটি ভালো।,The cat is good.,pusi d̪ɔ mɔ̃ɟa.
তাদের পোশাক গুরুত্বপূর্ণ।,Their apparel is important.,oŋkoaʔ ahɾan pahaɾand d̪ɔ ɟɘɾuɽa.
সে খাবার বিক্রি করেছিল।,He/she sold the food.,unii̯ ɟɔmaʔ ɘkʰɾiɲkeda.
সে দুধ পান করেছে।,He/she has drunk the milk.,uni d̪ɔ t̪o̯͡a ɲuakada.
ইংল্যান্ডে একটি পেট ব্যথা আছে।,There is a gripes in the england.,bilətɾɛ bɛɾõʈ duk menaa.
তারা কথা বলবে।,They will speak the word.,oŋko d̪ɔ kat̪ʰa ɾɔɽa.
আমি ভাষা লিখব না।,I do not write the language.,iɲ d̪ɔ pɘɾsi bɘɲ ɔlɔʔa.
তোমরা ঔষধ ও মোবাইল ফোন কিনবে।,You all will buy the medicine and the mobile phone.,apɛ d̪ɔ ɾan aɾ mɔbaĭl pʰon kiɾiɲa.
সে খাবার কিনবে না।,He/she does not buy the food.,uni d̪ɔ ɟɔmaʔ bai̯ kiɾiɲa.
গুজবটি গুরুত্বপূর্ণ।,The rumour is important.,bʰakaɾa d̪ɔ ɟɘɾuɽa.
নদী কোথায় আছে?,Where is the river?,gaɖa d̪ɔ ɔkaɾɛ menaa.
