dataset,sentence_id,issues,santali_sentence,english_gloss,source_eaf_file,source_eaf_utterance_id,confidence
generated_santali_5k_all_data.jsonl,LLM-000001,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;two_token_output,kạpil gại,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000002,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,cạndi,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000003,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,you do not di them pect with book .,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000004,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;two_token_output,udrạṅ mala,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000005,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,kạliạ jirạ algam minaʔ,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000006,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,There are/i  two day-hor ṭiko̱r ṭo̱ko̱r .,,generated_high_confidence_against_eaf.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000007,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;two_token_output,do cạuchal,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000008,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;two_token_output,ṭan bat,,generated_santali_large.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000009,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,we did di plea bhekuạ .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000010,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,top,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000011,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,we do recruit in/at  mall hou kạrni .,,generated_high_confidence_against_eaf.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000012,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,he/ he doe  divert in/at  even  dhukṛi  of Tauru .,,generated_vs_eaf_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000013,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,ma  . gaḍlak̕ goḍlok,,generated_santali_5k.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000014,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,I did to clo bas .,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000015,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,you do infringe with impul akal .,,generated_vs_eaf_sentence_semantic_matches.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000016,source_file_not_eaf;source_pair_not_found;source_pattern_not_verified;blank_english_gloss;blank_bangla_gloss;blank_sentence_type;english_like_santali_field,you do out-ca ro̱ṅ tealthily .,,santali_synthetic_40k_sentences.csv,,medium
generated_santali_5k_all_data.jsonl,LLM-000017,blank_english_gloss;blank_bangla_gloss;blank_sentence_type;one_token_output,ạika,nan,lexicon.eaf,232,medium
