file,kind,size_bytes,rows,physical_lines,columns,strict_json_errors,unique_santali_sentence,duplicate_santali_sentence,blank_english_gloss,blank_bangla_gloss,blank_sentence_type,one_token_santali,english_like_santali,valid_source_file_utterance,source_pattern_verified,compile_ok
audit_generated_5k_datasets.py,python,11335,,,,,,,,,,,,,,True
audit_workspace_outputs.py,python,13687,,,,,,,,,,,,,,True
convert_eaf_to_csv_and_test.py,python,11197,,,,,,,,,,,,,,True
Copy of Copy of Final Report.Team Clausetrophobic (1).txt,txt,148028,,,,,,,,,,,,,,
extracted_templates.json,json,3216649,,,,,,,,,,,,,,
generate_santali_40k.py,python,21689,,,,,,,,,,,,,,True
generated_5k_dataset_audit_rows.csv,csv,2296306,10000,,8,,9274,726,9722,10000,10000,3246,4888,,,
generated_5k_dataset_audit_summary.json,json,5899,,,,,,,,,,,,,,
generated_high_confidence_against_eaf.csv,csv,3116375,11202,,16,,,,,,,,,,,
generated_high_confidence_sentence_eaf.csv,csv,2446415,7403,,16,,,,,,,,,,,
generated_low_confidence_sample_against_eaf.csv,csv,153531,500,,16,,,,,,,,,,,
generated_santali.jsonl,jsonl,33539,50,50,,47,50,0,,,,17,19,50,50,
generated_santali_5k.csv,csv,1777442,5000,,15,,5000,0,4732,5000,5000,1916,1662,,,
generated_santali_5k.jsonl,jsonl,3248703,5000,5000,,4732,5000,0,,,,1916,1662,5000,5000,
generated_santali_5k_all_data.csv,csv,878522,5000,,12,,5000,0,4990,5000,5000,1330,3226,,,
generated_santali_5k_all_data.jsonl,jsonl,2095099,5000,5000,,217,5000,0,,,,1330,3226,147,147,
generated_santali_large.csv,csv,1080268,3000,,15,,3000,0,2877,3000,3000,1009,1074,,,
generated_santali_large.jsonl,jsonl,1961597,3000,3000,,2877,3000,0,,,,1009,1074,3000,3000,
generated_santali_summary.csv,csv,4506,50,,7,,50,0,47,50,50,17,19,,,
generated_vs_eaf_semantic_matches.csv,csv,12440005,40000,,16,,,,,,,,,,,
generated_vs_eaf_semantic_summary.csv,csv,1174,13,,4,,,,,,,,,,,
generated_vs_eaf_sentence_semantic_matches.csv,csv,14051402,40000,,16,,,,,,,,,,,
generated_vs_eaf_sentence_semantic_summary.csv,csv,1288,14,,4,,,,,,,,,,,
generated_vs_eaf_test_report.csv,csv,1316,12,,4,,,,,,,,,,,
generation_validation_report.json,json,1126,,,,,,,,,,,,,,
generation_validation_report_5k.json,json,238,,,,,,,,,,,,,,
generation_validation_report_5k_all_data.json,json,135,,,,,,,,,,,,,,
generation_validation_report_large.json,json,2108,,,,,,,,,,,,,,
inital data/2015.324513.Sahaj-Sanotali.pdf,pdf,5399864,,,,,,,,,,,,,,
inital data/bangla_sentences_glossed.eaf,eaf,58222,,,,,,,,,,,,,,
inital data/Copy of Copy of Final Report.Team Clausetrophobic.docx,docx,38518946,,,,,,,,,,,,,,
inital data/lexicon(1).eaf,eaf,249156,,,,,,,,,,,,,,
inital data/lexicon.eaf,eaf,249156,,,,,,,,,,,,,,
inital data/Literature 6.pdf,pdf,2373419,,,,,,,,,,,,,,
inital data/matthew_santali_glossed.eaf,eaf,76806,,,,,,,,,,,,,,
inital data/matthew_santali_glossed_ipa.eaf,eaf,80860,,,,,,,,,,,,,,
inital data/MTZ_Santali_Dictionary.xlsx,xlsx,593844,,,,,,,,,,,,,,
inital data/santali_bangla_glossed.eaf,eaf,65667,,,,,,,,,,,,,,
inital data/santali_dialogues_glossed.eaf,eaf,73384,,,,,,,,,,,,,,
