gt_source,gt_id,gt_santali,gt_english,gt_bangla,gt_extra
Santali_dataset_parsed.csv,1,pɘɾsid̪ɔ mano͡a̯ko̯͡aʔ onoɾom kana.,Language is the identity of people.,ভাষা মানুষের পরিচয়।,
Santali_dataset_parsed.csv,2,"ɟahãɾɛge mano̯͡a menaʔko, tahãɾɛge pɘɾsi mena.a.","Where there are people, there are languages.",যেখানে মানুষ সেখানেই ভাষা।,
Santali_dataset_parsed.csv,3,pɘɾsi d̪ɔ mit̪̚ʔ bid̪ɘl kʰɔn aɾ mit̪̚ʔ bid̪ɘlɾɛ sɛn paɾɔmɔʔa.,Language flows from one generation (age) to another generation (age).,ভাষা এক প্রজন্ম (যুগ) থেকে আরেক প্রজন্মে (যুগে) প্রবাহিত হয়।,
Santali_dataset_parsed.csv,4,mɛnke.jam d̪ʰɘɾt̪iɾɛ e.ja͡i̯ haɟaɾgan pɘɾsi mena.a.,There are about 7 thousand languages in the world.,পৃথিবীতে প্রায় ৭ হাজার ভাষা আছে।,
Santali_dataset_parsed.csv,5,ɟa͡o̯ pɛ cand̪oɾɛ mit̪̚ʔʈɛn kat̪ɛʔ pɘɾsi ad̪ɔʔkana.,At a time one language is disappearing every 3 months.,প্রতি ৩ মাসে/ ৩ মাস পর পর একটি করে ভাষা হারিয়ে যাচ্ছে।,
Santali_dataset_parsed.csv,6,ɟɔt̪ɔ pɘɾsige ɔkt̪ɛ nɘpit̪̚ɾɛ bɔd̪ɔlɔʔt̪ege t̪ahɛnkana.,All languages change over time.,সকল ভাষা সময়ের সাথে সাথে বদলায়।,
Santali_dataset_parsed.csv,7,pɘɾsi bɔd̪ɔlɔʔlekage sɔmaɟɾe.jaʔ ɘn ɘɾihɔ̃ bɔd̪ɔlɔʔkana.,"Like the way a language changes, the customs and traditions of the society also change.",ভাষা পরিবর্তনের মতো সমাজের প্রথা-রীতিনীতিও বদলায়।,
Santali_dataset_parsed.csv,8,pɘɾsid̪ɔ mano̯͡ai̯ ɟumid̪ɛt̪̚ʔko̯͡a.,Language builds unity among people/ Language unites people.,ভাষা মানুষের মধ্যে ঐক্য গড়ে তোলে/ ভাষা মানুষকে এক করে।,
Santali_dataset_parsed.csv,9,mano̯͡akod̪ɔ gɔgɔʈʰɛnkʰɔnge pɘhil pɘɾsiko ceːd̪a.,People learn their language first from their mother.,মানুষ প্রথম ভাষা শেখে তার মায়ের কাছ থেকে।,
Santali_dataset_parsed.csv,10,pɘɾsi sã͡o̯ sã͡o̯t̪ɛ mano̯͡ako̯͡aʔ hud̪iskohɔ̃ bɔd̪ɔlɔ.a.,People's thinking also changes along with language.,ভাষার সাথে সাথে মানুষের চিন্তাভাবনাও বদলায়।,
Santali_dataset_parsed.csv,11,ɔlɔʔ paɽha͡o̯ aɾ nukɾi lɘgit̪̚ʔ apnaɾ pɘɾsi cʰaɖahɔ̃ hɔɽ ɛʈaʔ ɛʈaʔ pɘɾsiko ceːd̪a.,People learn other languages apart from their own language for education and job.,লেখাপড়া ও চাকরির জন্য মানুষ নিজের ভাষা ছাড়াও অন্য ভাষা শেখে।,
Santali_dataset_parsed.csv,12,"lahaɾɛ isin basaŋ cicit̪̚ʔiɲ met̪at̪̚ʔmɛ t̪ahẽkana, mɛnɛʔ bam aɲɟɔmled̪a.","Mother: Earlier I told you to learn cooking, you didn't listen to me at that time.","মা: আগে তোমাকে রান্না শিখতে বলেছিলাম, তখন তুমি শোনোনি।",
Santali_dataset_parsed.csv,13,buɟʰhɘ͡o̯ kid̪ɘɲ.,Mother: I understand.,মা: বুঝতে পেরেছি।,
Santali_dataset_parsed.csv,14,"iɲd̪ɔ d̪aka, ɘlu bʰɘɾt̪ɘ aɾ belehɔɲ bʰɘɟi d̪aɽeo̯͡a.a.","Daughter: I can cook rice, make mashed potatoes and can fry eggs.","মেয়ে: আমি ভাত রান্না করতে পারি, আলু ভরতা বানাতে পারি এবং ডিম ভাজি করতে পারি।",
Santali_dataset_parsed.csv,15,nit̪̚ʔ d̪ɔ iɲ aɽaʔut̪u aɾ sobɟi bʰɘɟi cet̪̚ʔɟɔŋiɲ mɛnɟɔŋkana.,Daughter: Now I want to learn how to cook and fry vegetables.,মেয়ে: এখন আমি শাক রান্না এবং সবজি ভাজি করা শিখতে চাই।,
Santali_dataset_parsed.csv,16,"bogege, inɘ bʰit̪ɾiɾege amd̪ɔ a͡i̯mam cet̪̚ʔked̪a.","Mother: Good, you have learned a lot already.","মা: ভালো, এরইমধ্যে তুমি অনেক কিছু শিখেছ।",
Santali_dataset_parsed.csv,17,"hɛ̃ː gɔ, cecet̪̚ʔiɲ mɛnɟɔŋkana.","Daughter: Yes mom, I want to learn.","মেয়ে: হ্যাঁ মা, শিখতে চাই।",
Santali_dataset_parsed.csv,18,ɾaŋgaʔ ɾenaʔ d̪ɔ cɛt̪̚ʔhɔ baŋkana.,Mother: There is nothing to be angry about.,মা: রাগ করার কিছু নেই।,
