generated_id,template_id,generated_santali,generated_english,generated_bangla,best_eaf_file,best_eaf_utterance_id,best_eaf_santali,best_eaf_english,best_eaf_bangla,combined_score,english_word_score,english_overlap_score,bangla_overlap_score,santali_overlap_score,confidence
SYN-00003,IMPERATIVE,ro̱ṛ me,Please to talk.,কথা বলা।,lexicon.eaf,23,kat̪ʰa ɾɔɽ kat̪ʰa ɾɔɽ,to talk,,1.0000,1.0000,1.0000,0.0000,0.0000,high
SYN-00004,NUM_NOUN_EXIST,cạr bhado̱r minaʔ,There are/is four august-September (month).,চার ভাদ্র মাস আছে।,santali_new_glossed.eaf,108,pon pon,Four,,0.8405,0.8405,0.5000,0.0000,0.0000,high
SYN-00007,SUBJ_VERB_NEG_PRESENT,abo dɔ ba-bon bo̱ko̱bho̱ṇḍ kan-a,we do not bring contumely upon.,আমরা অপমান করা না।,lexicon.eaf,10,ɘgu ɘgu,to bring,,1.0000,1.0000,0.5774,0.0000,0.0000,high
SYN-00009,LOC_NEG_EXIST,guric̕ mande-re sṛsa banuʔ-a,There is no plea in/at midden.,আবর্জনার স্তূপ-তে যুক্তি নেই।,santali_glossed_dialogues.eaf,20,"baŋ, lahaɾɛ d̪ɔ alɔm kiɾiɲa baŋ laha-ɾɛ d̪ɔ alɔ-m kiɾiɲ-a","No, no need to buy first.",,0.7572,0.7572,0.2887,0.0000,0.0000,high
SYN-00011,SUBJ_ADJ,abo dɔ dulạṛ kan-a-bon,we are beloved.,আমরা প্রিয়।,santali_matthew_glossed.eaf,11,Nui-ge iʰren d̪ulɑriɑ hɔpɔn d̪o Nui-ge iʰ-ren d̪ulɑriɑ hɔpɔn d̪o,This is my beloved Son.,,0.8079,0.8079,0.7071,0.0000,0.0000,high
SYN-00016,ADV_VERB,abo dɔ mo̱ne̱ mo̱ne̱te abaṛ kan-a,we do cry mentally.,আমরা মানসিকভাবে কাঁদা।,santali_glossed_3.eaf,120,ɾaʔ ɾaʔ,Cry,,1.0000,1.0000,0.7071,0.0000,0.0000,high
SYN-00018,ADJ_NOUN,ona dɔ mora khola oṛak̕ kan-a,That is a dead guest chamber.,ওটা মৃত অতিথিশালা।,santali_glossed_3.eaf,39,gɔʲc̚ʔ gɔʲc̚ʔ,Dead,,0.7071,0.7071,0.5774,0.0000,0.0000,high
SYN-00020,POSS_NOM,ona dɔ uni-aʔ coṇḍa cuṇḍi kan-a,That is he/she's quarrel.,ওটা সে-এর ঝগড়া।,santali_dialogues_glossed.eaf,44,ɔko͡i̯ sã͡ɔ̯t̪ɛhɔ̃ alopɛ ɾɛʈʰa ɾɛʈʰi.a ɔko͡i̯ sã͡ɔ-t̪ɛ-hɔ̃ alo-pɛ ɾɛʈʰa-ɾɛʈʰi-a,You will not quarrel with anyone.,,0.7302,0.7302,0.7071,0.0000,0.0000,high
SYN-00029,LOC_NEG_EXIST,gaḍha sot-re kạhtuk banuʔ-a,There is no traditional lore in/at ravines & hollows.,খাঁড়া ও গর্ত-তে ঐতিহ্যবাহী জ্ঞান নেই।,santali_glossed_dialogues.eaf,20,"baŋ, lahaɾɛ d̪ɔ alɔm kiɾiɲa baŋ laha-ɾɛ d̪ɔ alɔ-m kiɾiɲ-a","No, no need to buy first.",,0.7572,0.7572,0.2236,0.0000,0.0000,high
SYN-00032,SUBJ_NEG_ADJ,iɲ dɔ bɔ-iɲ bhaskar kan-a,I am not unshapely.,আমি বেঢপ নয়।,santali_paradigm_glossed.eaf,72,iɲiɲ ɾɔɾɔɽ kana iɲ-iɲ ɾɔ-ɾɔɽ kan-a,I am saying.,,0.7841,0.7841,0.5000,0.0000,0.4330,high
