sentence_id,santali_sentence,english_gloss,bangla_gloss,sentence_type,confidence,source_eaf_file,source_eaf_utterance_id,source_eaf_pattern,dictionary_slots_json,synthetic,needs_native_review
LLM-000001,kạpil gại,,,,medium,generated_santali_5k.csv,,bhac marte,"[{""slot"": ""noun"", ""headword"": ""kạpil gại""}]",True,True
LLM-000002,cạndi,,,,medium,generated_santali_5k.csv,,co̱po̱t̕,"[{""slot"": ""noun"", ""headword"": ""cạndi""}]",True,True
LLM-000003,you do not di them pect with book .,,,,medium,santali_synthetic_40k_sentences.csv,,you do not disrespect with book.,"[{""slot"": ""noun"", ""headword"": ""them""}]",True,True
LLM-000004,udrạṅ mala,,,,medium,generated_santali_5k.csv,,lạukạ,"[{""slot"": ""noun"", ""headword"": ""udrạṅ mala""}]",True,True
LLM-000005,kạliạ jirạ algam minaʔ,,,,medium,santali_synthetic_40k_sentences.csv,,bar salgam minaʔ,"[{""slot"": ""noun"", ""headword"": ""kạliạ jirạ""}]",True,True
LLM-000006,There are/i  two day-hor ṭiko̱r ṭo̱ko̱r .,,,,medium,generated_high_confidence_against_eaf.csv,,There are/is two day-horse.,"[{""slot"": ""noun"", ""headword"": ""ṭiko̱r ṭo̱ko̱r""}]",True,True
LLM-000007,do cạuchal,,,,medium,generated_santali_5k.csv,,dosar,"[{""slot"": ""noun"", ""headword"": ""cạuchal""}]",True,True
LLM-000008,ṭan bat,,,,medium,generated_santali_large.csv,,hoyaṅ,"[{""slot"": ""noun"", ""headword"": ""ṭan bat""}]",True,True
LLM-000009,we did di plea bhekuạ .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,we did displease.,"[{""slot"": ""noun"", ""headword"": ""bhekuạ""}]",True,True
LLM-000010,top,,,,medium,generated_santali_5k.csv,,bubhạu,"[{""slot"": ""noun"", ""headword"": ""top""}]",True,True
LLM-000011,we do recruit in/at  mall hou kạrni .,,,,medium,generated_high_confidence_against_eaf.csv,,we do recruit in/at small house.,"[{""slot"": ""noun"", ""headword"": ""kạrni""}]",True,True
LLM-000012,he/ he doe  divert in/at  even  dhukṛi  of Tauru .,,,,medium,generated_vs_eaf_semantic_matches.csv,,he/she does divert in/at seven stars of Taurus.,"[{""slot"": ""noun"", ""headword"": ""dhukṛi""}]",True,True
LLM-000013,ma  . gaḍlak̕ goḍlok,,,,medium,generated_santali_5k.csv,,ma . phokṭiạ,"[{""slot"": ""noun"", ""headword"": ""gaḍlak̕ goḍlok""}]",True,True
LLM-000014,I did to clo bas .,,,,medium,santali_synthetic_40k_sentences.csv,,I did to close.,"[{""slot"": ""noun"", ""headword"": ""bas""}]",True,True
LLM-000015,you do infringe with impul akal .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,you do infringe with impulse.,"[{""slot"": ""noun"", ""headword"": ""akal""}]",True,True
LLM-000016,you do out-ca ro̱ṅ tealthily .,,,,medium,santali_synthetic_40k_sentences.csv,,you do out-caste stealthily.,"[{""slot"": ""noun"", ""headword"": ""ro̱ṅ""}]",True,True
LLM-000017,ạika,nan,,,medium,lexicon.eaf,232,haɽam-ba,"[{""slot"": ""conj."", ""headword"": ""ạika""}]",True,True
LLM-000018,mambṛa mạmbṛi,,,,medium,generated_santali_large.csv,,daraṅ duruṅ,"[{""slot"": ""noun"", ""headword"": ""mambṛa mạmbṛi""}]",True,True
LLM-000019,Thi  i  a unvarni hed radiance before  unri pik̕ṭhạić .,,,,medium,santali_synthetic_40k_sentences.csv,,This is a unvarnished radiance before sunrise.,"[{""slot"": ""noun"", ""headword"": ""pik̕ṭhạić""}]",True,True
LLM-000020,There i dak̕ daka ual conver ation in/at mi t .,,,,medium,generated_vs_eaf_semantic_matches.csv,,There is casual conversation in/at mist.,"[{""slot"": ""noun"", ""headword"": ""dak̕ daka""}]",True,True
LLM-000021,we do to repo ana .,,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,we do to repose.,"[{""slot"": ""noun"", ""headword"": ""ana""}]",True,True
LLM-000022,kaṭaha,,,,medium,generated_santali_large.csv,,huc̕ bir,"[{""slot"": ""noun"", ""headword"": ""kaṭaha""}]",True,True
LLM-000023,he/ he doe  not to forbear with corp bhaṛa .,,,,medium,santali_synthetic_40k_sentences.csv,,he/she does not to forbear with corpse.,"[{""slot"": ""noun"", ""headword"": ""bhaṛa""}]",True,True
LLM-000024,kạnạri,,,,medium,generated_santali_5k.csv,,chapkao,"[{""slot"": ""noun"", ""headword"": ""kạnạri""}]",True,True
LLM-000025,bhabna,,,,medium,generated_santali_large.csv,,dhiri gada,"[{""slot"": ""noun"", ""headword"": ""bhabna""}]",True,True
LLM-000026,gạruṛ,,,,medium,generated_santali_5k.csv,,ãṭwar,"[{""slot"": ""noun"", ""headword"": ""gạruṛ""}]",True,True
LLM-000027,he/ he doe  not diffu ato .,,,,medium,generated_vs_eaf_semantic_matches.csv,,he/she does not diffuse.,"[{""slot"": ""noun"", ""headword"": ""ato""}]",True,True
LLM-000028,"we do not refu le̱ne̱be̱t̕ ,  to with violence .",,,,medium,generated_vs_eaf_sentence_semantic_matches.csv,,"we do not refuse, to with violence.","[{""slot"": ""noun"", ""headword"": ""le̱ne̱be̱t̕""}]",True,True
LLM-000029,jhilo,,,,medium,generated_santali_5k.csv,,hoṛo,"[{""slot"": ""noun"", ""headword"": ""jhilo""}]",True,True
LLM-000030,That i  we' ạkhir tancy .,,,,medium,generated_vs_eaf_semantic_matches.csv,,That is we's constancy.,"[{""slot"": ""noun"", ""headword"": ""ạkhir""}]",True,True
LLM-000031,N . kạjiạ,,,,medium,output_layoutA (1).csv,122,N.shoe,"[{""slot"": ""noun"", ""headword"": ""kạjiạ""}]",True,True
LLM-000032,"you do decline , kạhni rạṛ en .",,,,medium,santali_synthetic_40k_sentences.csv,,"you do decline, lessen.","[{""slot"": ""noun"", ""headword"": ""kạhni rạṛ""}]",True,True
LLM-000033,I do to prepare thread for dyeing with no tamakhur .,,,,medium,generated_high_confidence_against_eaf.csv,,I do to prepare thread for dyeing with nose.,"[{""slot"": ""noun"", ""headword"": ""tamakhur""}]",True,True
LLM-000034,Plea gunạk̕ cowl .,,,,medium,generated_vs_eaf_semantic_matches.csv,,Please scowl.,"[{""slot"": ""noun"", ""headword"": ""gunạk̕""}]",True,True
