generated_id,template_id,generated_santali,generated_english,generated_bangla,best_eaf_file,best_eaf_utterance_id,best_eaf_santali,best_eaf_english,best_eaf_bangla,combined_score,english_word_score,english_overlap_score,bangla_overlap_score,santali_overlap_score,confidence
SYN-00001,ADJ_NOUN,ona dɔ ḍhapaṛ ro̱n kuhṛạ kan-a,That is a flapping fog.,ওটা ঝাপটানো কুয়াশা।,santali_with_ipa.eaf,114,okoi oɾae kan-a okoi oɾae kan-a okoi oɾɑe kɑnɑ,Whose house is this?,,0.1543,0.0000,0.0000,0.0000,0.3086,low
SYN-00002,SUBJ_ADJ,am dɔ gạphil kan-a-m,you are imprudent.,তুমি অসাবধান।,santali_glossed_1.eaf,63,am cɛt̪̚ʔlɛka mɛnama? am cɛt̪ʔ-lɛka mena-m-a? am | cɛt̪ʔ-lɛka | mena-m-a,Uncle: How are you?,[S7.3] কাকা: তুমি কেমন আছো?,0.2598,0.0000,0.0000,0.2887,0.4330,low
SYN-00003,IMPERATIVE,ro̱ṛ me,Please to talk.,কথা বলা।,santali_imperatives_glossed.eaf,13,iɲ sã͡ot̪ɛ alom ɾɔɽ-a iɲ sã͡o-t̪ɛ alom ɾɔɽ-a,You will not talk to me.,,0.7872,0.7872,0.7071,0.0000,0.0000,high
SYN-00004,NUM_NOUN_EXIST,cạr bhado̱r minaʔ,There are/is four august-September (month).,চার ভাদ্র মাস আছে।,santali_glossed_2.eaf,14,uni-jaʔ umɘɾ gɛl cand̪o uni-jaʔ umɘɾ gɛl cand̪o,He is 10 months old.,,0.7121,0.7121,0.3536,0.0000,0.0000,high
SYN-00005,SUBJ_VERB_NEG_PRESENT,uni dɔ ba-e ṭuṭạu kan-a,he/she does not to be fractured.,সে ভেঙে যাওয়া না।,santali_with_ipa.eaf,39,uni oɽae ba-e sen-kan-a-e uni oɽae ba-e sen-kan-a-e uni oɽɑe bɑe senkɑnɑe,He didn't go home.,,0.2988,0.0000,0.0000,0.0000,0.5976,low
SYN-00006,PLACE_VERB,abo dɔ dhạrti-re kạsi kan-a,we do to castrate in/at universe.,আমরা বিশ্বব্রহ্মাণ্ড-তে খাসি করা।,santali_with_ipa.eaf,114,okoi oɾae kan-a okoi oɾae kan-a okoi oɾɑe kɑnɑ,Whose house is this?,,0.1543,0.0000,0.0000,0.0000,0.3086,low
SYN-00007,SUBJ_VERB_NEG_PRESENT,abo dɔ ba-bon bo̱ko̱bho̱ṇḍ kan-a,we do not bring contumely upon.,আমরা অপমান করা না।,santali_pasted_text.eaf,53,"baŋ, bɔt̪ɔld̪ɔ bɘɲ ɘguoakad̪a baŋ, bɔt̪ɔl-d̪ɔ bɘɲ ɘgu-o-a-kad̪a","No, I did not bring a bottle.",,0.5778,0.5778,0.3333,0.0000,0.0000,high
SYN-00008,DEMO_NEG_ADJ,ona dɔ ba-ŋ dacaṅ kan-a,That is not ubiquitous.,ওটা সর্বত্রব্যাপী নয়।,santali_with_ipa.eaf,55,ba-e ɾesʔk kan-a ba-e ɾesʔk kan-a bɑe ɾesʔk kɑnɑ,He isn't happy.,,0.2143,0.0000,0.0000,0.0000,0.4286,low
SYN-00009,LOC_NEG_EXIST,guric̕ mande-re sṛsa banuʔ-a,There is no plea in/at midden.,আবর্জনার স্তূপ-তে যুক্তি নেই।,santali_glossed_dialogues.eaf,20,"baŋ, lahaɾɛ d̪ɔ alɔm kiɾiɲa baŋ laha-ɾɛ d̪ɔ alɔ-m kiɾiɲ-a","No, no need to buy first.",,0.7549,0.7549,0.2887,0.0000,0.0000,high
SYN-00010,SUBJ_VERB_PAST,am dɔ bhoṇḍra-len-a,you did wear away.,তুমি ক্ষয় হওয়া করেছিল।,santali_imperatives_glossed.eaf,55,ɘɖi sɘŋgiɲ ɘɖi sɘŋgiɲ,Far Away,,0.4774,0.4774,0.5000,0.0000,0.0000,medium
SYN-00011,SUBJ_ADJ,abo dɔ dulạṛ kan-a-bon,we are beloved.,আমরা প্রিয়।,santali_matthew_glossed(1).eaf,11,Nui-ge iʰren d̪ulɑriɑ hɔpɔn d̪o Nui-ge iʰ-ren d̪ulɑriɑ hɔpɔn d̪o,This is my beloved Son.,,0.8034,0.8034,0.7071,0.0000,0.0000,high
SYN-00012,SUBJ_VERB_PRESENT,am dɔ parpạsind kan-a-m,you do to approve.,তুমি অনুমোদন করা।,santali_new_glossed_1.eaf,20,amd̪ɔ cɛt̪ʔ nɔnɖɛniʲcʔ kanam am-d̪ɔ cɛt̪ʔ nɔnɖɛn-iʲcʔ kan-a-m,Are you the person from here?,,0.2462,0.0000,0.0000,0.0000,0.4924,low
