bangla,english,santali
﻿ভাষা মানুষের পরিচয়।,Language is the identity of people.,pɘɾsid̪ɔ mano͡a̯ko̯͡aʔ onoɾom kana.
যেখানে মানুষ সেখানেই ভাষা।,"Where there are people, there are languages.","ɟahãɾɛge mano̯͡a menaʔko, tahãɾɛge pɘɾsi mena.a."
ভাষা এক প্রজন্ম (যুগ) থেকে আরেক প্রজন্মে (যুগে) প্রবাহিত হয়।,Language flows from one generation (age) to another generation (age).,pɘɾsi d̪ɔ mit̪̚ʔ bid̪ɘl kʰɔn aɾ mit̪̚ʔ bid̪ɘlɾɛ sɛn paɾɔmɔʔa.
পৃথিবীতে প্রায় ৭ হাজার ভাষা আছে।,There are about 7 thousand languages in the world.,mɛnke.jam d̪ʰɘɾt̪iɾɛ e.ja͡i̯ haɟaɾgan pɘɾsi mena.a.
প্রতি ৩ মাসে/ ৩ মাস পর পর একটি করে ভাষা হারিয়ে যাচ্ছে।,At a time one language is disappearing every 3 months.,ɟa͡o̯ pɛ cand̪oɾɛ mit̪̚ʔʈɛn kat̪ɛʔ pɘɾsi ad̪ɔʔkana.
সকল ভাষা সময়ের সাথে সাথে বদলায়।,All languages change over time.,ɟɔt̪ɔ pɘɾsige ɔkt̪ɛ nɘpit̪̚ɾɛ bɔd̪ɔlɔʔt̪ege t̪ahɛnkana.
ভাষা পরিবর্তনের মতো সমাজের প্রথা-রীতিনীতিও বদলায়।,"Like the way a language changes, the customs and traditions of the society also change.",pɘɾsi bɔd̪ɔlɔʔlekage sɔmaɟɾe.jaʔ ɘn ɘɾihɔ̃ bɔd̪ɔlɔʔkana.
ভাষা মানুষের মধ্যে ঐক্য গড়ে তোলে/ ভাষা মানুষকে এক করে।,Language builds unity among people/ Language unites people.,pɘɾsid̪ɔ mano̯͡ai̯ ɟumid̪ɛt̪̚ʔko̯͡a.
মানুষ প্রথম ভাষা শেখে তার মায়ের কাছ থেকে।,People learn their language first from their mother.,mano̯͡akod̪ɔ gɔgɔʈʰɛnkʰɔnge pɘhil pɘɾsiko ceːd̪a.
ভাষার সাথে সাথে মানুষের চিন্তাভাবনাও বদলায়।,People's thinking also changes along with language.,pɘɾsi sã͡o̯ sã͡o̯t̪ɛ mano̯͡ako̯͡aʔ hud̪iskohɔ̃ bɔd̪ɔlɔ.a.
লেখাপড়া ও চাকরির জন্য মানুষ নিজের ভাষা ছাড়াও অন্য ভাষা শেখে।,People learn other languages apart from their own language for education and job.,ɔlɔʔ paɽha͡o̯ aɾ nukɾi lɘgit̪̚ʔ apnaɾ pɘɾsi cʰaɖahɔ̃ hɔɽ ɛʈaʔ ɛʈaʔ pɘɾsiko ceːd̪a.
