dataset_file,generated_id,generated_santali,generated_english,generated_bangla,best_gt_source,best_gt_id,best_gt_santali,best_gt_english,best_gt_bangla,combined_score,english_word_score,english_overlap_score,bangla_overlap_score,santali_overlap_score,content_word_overlap,content_jaccard,exact_santali_match,exact_english_match,exact_bangla_match,strict_reviewable,weak_auto_match
santali_synthetic_40k_sentences.csv,SYN-00001,ona dɔ ḍhapaṛ ro̱n kuhṛạ kan-a,That is a flapping fog.,ওটা ঝাপটানো কুয়াশা।,output_layoutA (1).csv,54,ɾesʔk kan-a,He's happy.,,0.2182,0.0000,0.0000,0.0000,0.4364,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00008,ona dɔ ba-ŋ dacaṅ kan-a,That is not ubiquitous.,ওটা সর্বত্রব্যাপী নয়।,output_layoutA (1).csv,136,niɟa iŋʔ kɔlɔm ba-ŋ kan-a,This is not my pen.,,0.2857,0.0000,0.0000,0.0000,0.5714,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00009,guric̕ mande-re sṛsa banuʔ-a,There is no plea in/at midden.,আবর্জনার স্তূপ-তে যুক্তি নেই।,Santali_dataset_parsed.csv,689,baŋ ceka.a.,Officer: No problem.,অফিসার: অসুবিধা নেই।,0.2324,0.0000,0.0000,0.2582,0.2357,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00013,nɔa dɔ dho̱mo̱k dharapkiạ kan-a,This is a haughty receptacle for sindur.,এটা অহংকারী সিঁদুরের পাত্র।,output_layoutA (1).csv,54,ɾesʔk kan-a,He's happy.,,0.2357,0.0000,0.0000,0.0000,0.4714,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00017,ona dɔ aṅgur biṛhi kan-a,"That is whitlow, a.",ওটা আঙুলের ফোঁড়া।,output_layoutA (1).csv,54,ɾesʔk kan-a,He's happy.,,0.2357,0.0000,0.0000,0.0000,0.4714,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00022,aṅgo̱p̕ me,"Please yawn, to.",হাই তোলা।,output_layoutB (1).csv,20,"mobaĭl-t̪ɛ seɾeɲ aɲɟɔm-ɔʔ-a, pʰɔʈɔ ɾakab-ɔʔ-a, senema aɾ naʈɔk̚ ɲɛl-ɔ-a.","Mobile can be used to listen to music, take pictures and watch movies.","[S3.3] মোবাইলে গান শোনা যায়, ছবি তোলা যায়, সিনেমা ও নাটক দেখা যায়।",0.1837,0.0000,0.0000,0.2041,0.0000,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00026,nɔa dɔ ba-ŋ ḍhiso ḍhoro kan-a,This is not unwashed.,এটা অধোয়া নয়।,output_layoutA (1).csv,136,niɟa iŋʔ kɔlɔm ba-ŋ kan-a,This is not my pen.,,0.2673,0.0000,0.0000,0.0000,0.5345,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00029,gaḍha sot-re kạhtuk banuʔ-a,There is no traditional lore in/at ravines & hollows.,খাঁড়া ও গর্ত-তে ঐতিহ্যবাহী জ্ঞান নেই।,Santali_dataset_parsed.csv,689,baŋ ceka.a.,Officer: No problem.,অফিসার: অসুবিধা নেই।,0.1964,0.0000,0.0000,0.2182,0.2357,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00060,nɔa dɔ sãk kan-a,This is division of threads in mattress.,এটা বিছানার সুতার ভাগ।,output_layoutA (1).csv,54,ɾesʔk kan-a,He's happy.,,0.2582,0.0000,0.0000,0.0000,0.5164,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00104,ona dɔ bạḍhi dɔ ba-ŋ kan-a,"That is not pile, a.",ওটা স্তূপ নয়।,output_layoutA (1).csv,136,niɟa iŋʔ kɔlɔm ba-ŋ kan-a,This is not my pen.,,0.2857,0.0000,0.0000,0.0000,0.5714,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00108,ona dɔ jhạlur kan-a,That is baggy.,ওটা ঝুলন্ত / ঢিলা।,output_layoutA (1).csv,54,ɾesʔk kan-a,He's happy.,,0.2582,0.0000,0.0000,0.0000,0.5164,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00111,nɔa dɔ be̱abron kan-a,This is disgraced.,"এটা লজ্জিত, অপদস্থ।",Santali_dataset_parsed.csv,607,nɔ̯͡a d̪ɔ ɘɖit̪ɛt̪̚ʔ bɘɽiʲc̚ʔ kɘmi kana.,It's a heinous work.,এটা একটা জঘন্য কাজ।,0.2598,0.0000,0.0000,0.2887,0.0000,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00118,bhap-re koṭha minaʔ,There is ceiling in/at vapour.,বাষ্প-তে ছাদ আছে।,Santali_dataset_parsed.csv,1102,ʈʰikge.ja.,Parent: All right.,অভিভাবক: ঠিক আছে।,0.2598,0.0000,0.0000,0.2887,0.0000,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00132,buru nala-re jae minaʔ,There is victory in/at valley.,উপত্যকা-তে জয় আছে।,Santali_dataset_parsed.csv,1102,ʈʰikge.ja.,Parent: All right.,অভিভাবক: ঠিক আছে।,0.2598,0.0000,0.0000,0.2887,0.0000,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00137,nɔa dɔ ba-ŋ podgoe kan-a,This is not rufous.,এটা লালচে নয়।,output_layoutA (1).csv,136,niɟa iŋʔ kɔlɔm ba-ŋ kan-a,This is not my pen.,,0.2857,0.0000,0.0000,0.0000,0.5714,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00142,nɔa dɔ ba-ŋ ganjha gạnjhi kan-a,This is not trampled.,এটা পদদলিত নয়।,output_layoutA (1).csv,136,niɟa iŋʔ kɔlɔm ba-ŋ kan-a,This is not my pen.,,0.2673,0.0000,0.0000,0.0000,0.5345,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00152,nɔa dɔ co̱ṭ dɔ ba-ŋ kan-a,This is not firmament.,এটা আকাশমণ্ডল নয়।,output_layoutA (1).csv,136,niɟa iŋʔ kɔlɔm ba-ŋ kan-a,This is not my pen.,,0.2857,0.0000,0.0000,0.0000,0.5714,0,0.0000,false,false,false,false,false
santali_synthetic_40k_sentences.csv,SYN-00162,phãk-re bạdi banuʔ-a,There is no accuser in/at rift.,ফাটল-তে অভিযোগকারী নেই।,Santali_dataset_parsed.csv,689,baŋ ceka.a.,Officer: No problem.,অফিসার: অসুবিধা নেই।,0.2598,0.0000,0.0000,0.2887,0.2582,0,0.0000,false,false,false,false,false
