generated_id,template_id,generated_santali,generated_english,generated_bangla,best_eaf_file,best_eaf_utterance_id,best_eaf_santali,best_eaf_english,best_eaf_bangla,combined_score,english_word_score,english_overlap_score,bangla_overlap_score,santali_overlap_score,confidence
SYN-00003,IMPERATIVE,ro̱ṛ me,Please to talk.,কথা বলা।,santali_imperatives_glossed.eaf,13,iɲ sã͡ot̪ɛ alom ɾɔɽ-a iɲ sã͡o-t̪ɛ alom ɾɔɽ-a,You will not talk to me.,,0.7872,0.7872,0.7071,0.0000,0.0000,high
SYN-00004,NUM_NOUN_EXIST,cạr bhado̱r minaʔ,There are/is four august-September (month).,চার ভাদ্র মাস আছে।,santali_glossed_2.eaf,14,uni-jaʔ umɘɾ gɛl cand̪o uni-jaʔ umɘɾ gɛl cand̪o,He is 10 months old.,,0.7121,0.7121,0.3536,0.0000,0.0000,high
SYN-00007,SUBJ_VERB_NEG_PRESENT,abo dɔ ba-bon bo̱ko̱bho̱ṇḍ kan-a,we do not bring contumely upon.,আমরা অপমান করা না।,santali_pasted_text.eaf,53,"baŋ, bɔt̪ɔld̪ɔ bɘɲ ɘguoakad̪a baŋ, bɔt̪ɔl-d̪ɔ bɘɲ ɘgu-o-a-kad̪a","No, I did not bring a bottle.",,0.5778,0.5778,0.3333,0.0000,0.0000,high
SYN-00009,LOC_NEG_EXIST,guric̕ mande-re sṛsa banuʔ-a,There is no plea in/at midden.,আবর্জনার স্তূপ-তে যুক্তি নেই।,santali_glossed_dialogues.eaf,20,"baŋ, lahaɾɛ d̪ɔ alɔm kiɾiɲa baŋ laha-ɾɛ d̪ɔ alɔ-m kiɾiɲ-a","No, no need to buy first.",,0.7549,0.7549,0.2887,0.0000,0.0000,high
SYN-00011,SUBJ_ADJ,abo dɔ dulạṛ kan-a-bon,we are beloved.,আমরা প্রিয়।,santali_matthew_glossed(1).eaf,11,Nui-ge iʰren d̪ulɑriɑ hɔpɔn d̪o Nui-ge iʰ-ren d̪ulɑriɑ hɔpɔn d̪o,This is my beloved Son.,,0.8034,0.8034,0.7071,0.0000,0.0000,high
SYN-00016,ADV_VERB,abo dɔ mo̱ne̱ mo̱ne̱te abaṛ kan-a,we do cry mentally.,আমরা মানসিকভাবে কাঁদা।,santali_new_glossed.eaf,99,uni gid̪ɾɘ-i͡ ɾaʔ-ɛ-d̪a uni gid̪ɾɘ-i͡ ɾaʔ-ɛ-d̪a,That baby is crying.,,0.7278,0.7278,0.5000,0.0000,0.0000,high
SYN-00020,POSS_NOM,ona dɔ uni-aʔ coṇḍa cuṇḍi kan-a,That is he/she's quarrel.,ওটা সে-এর ঝগড়া।,santali_dialogues_glossed.eaf,44,ɔko͡i̯ sã͡ɔ̯t̪ɛhɔ̃ alopɛ ɾɛʈʰa ɾɛʈʰi.a ɔko͡i̯ sã͡ɔ-t̪ɛ-hɔ̃ alo-pɛ ɾɛʈʰa-ɾɛʈʰi-a,You will not quarrel with anyone.,,0.7315,0.7315,0.7071,0.0000,0.0000,high
SYN-00029,LOC_NEG_EXIST,gaḍha sot-re kạhtuk banuʔ-a,There is no traditional lore in/at ravines & hollows.,খাঁড়া ও গর্ত-তে ঐতিহ্যবাহী জ্ঞান নেই।,santali_glossed_dialogues.eaf,20,"baŋ, lahaɾɛ d̪ɔ alɔm kiɾiɲa baŋ laha-ɾɛ d̪ɔ alɔ-m kiɾiɲ-a","No, no need to buy first.",,0.7549,0.7549,0.2236,0.0000,0.0000,high
SYN-00032,SUBJ_NEG_ADJ,iɲ dɔ bɔ-iɲ bhaskar kan-a,I am not unshapely.,আমি বেঢপ নয়।,santali_paradigm_glossed.eaf,72,iɲiɲ ɾɔɾɔɽ kana iɲ-iɲ ɾɔ-ɾɔɽ kan-a,I am saying.,,0.7627,0.7627,0.5000,0.0000,0.4330,high
SYN-00049,DEMO_NOM,nɔa dɔ nāogāo kan-a,This is address.,এটা ঠিকানা।,santali_school_dialogue_glossed.eaf,13,cɛt̪̚ʔ uni d̪ɔ a jaʔ ɔɽaʔ ɾenaʔ ʈʰikana͡i̯ lɘ͡͡i̯ d̪aɽe jaʔa cɛt̪̚ʔ uni d̪ɔ a-jaʔ ɔɽaʔ ɾenaʔ ʈʰikana-͡i̯ lɘ-͡i̯ d̪aɽe-jaʔ-a,But can he state his home address?,,0.5926,0.5926,0.5000,0.0000,0.0000,high
SYN-00052,SUBJ_ADJ,iɲ dɔ olocolo kan-a,I am fitful.,আমি অনিয়মিত।,santali_paradigm_glossed.eaf,72,iɲiɲ ɾɔɾɔɽ kana iɲ-iɲ ɾɔ-ɾɔɽ kan-a,I am saying.,,0.7627,0.7627,0.5000,0.0000,0.4743,high
SYN-00056,ADV_VERB,iɲ dɔ pico̱po̱co̱ coḍak̕ kan-a,I do peel off below par.,আমি নিম্নমানের খসে পড়া।,santali_imperatives_glossed.eaf,69,lat̪aɾ-ɾɛ lat̪aɾ-ɾɛ,Below / Down,,0.5907,0.5907,0.3536,0.0000,0.0000,high
SYN-00057,ADJ_NOUN,nɔa dɔ salas raj baha kan-a,This is a unwonted sweet oleander.,এটা অস্বাভাবিক করবী গাছ।,santali_with_ipa.eaf,134,niɟo ɟdɔ ba-ŋ herem niɟo ɟ-dɔ ba-ŋ herem niɟo ɟd̪ɔ bɑŋ herem,This fruit is not sweet.,,0.7531,0.7531,0.4082,0.0000,0.0000,high
