sentence_id,santali_sentence,english_gloss,sentence_type,confidence,source_eaf_file,source_eaf_utterance_id
LLM-000001,je agar ogor erma raj-ge do-e maran-a,nan,,high,matthew_santali_glossed.eaf,49
LLM-000002,Mon-re renadejokkankoge-ko bhagan-a ente  kạcni,nan,,high,matthew_santali_glossed.eaf,8
LLM-000003,apnar,Pradeep: You are right.,,high,santali_glossed_1.eaf,96
LLM-000004,Ado turui din tay-om Ji u do Patra  ar Jakob ar uni-ren boeha Johan  onde tor-a-kate mitt-ec' u ul buru-te e bhucampa,nan,,high,matthew_santali_glossed.eaf,47
LLM-000005,enhilɔkʔ d͡ʒi u d̪ɔ ɔrɑkʔ kʰɔn ɔd̪ɔk  ini,nan,,high,matthew_santali_glossed_ipa.eaf,42
LLM-000006,ut̪u-ɾɛ ɟʰal ɟɘ iạte,nan,,high,santali_new_glossed.eaf,60
LLM-000007,ciri biri ɑ tʃɑlɑɔ-en-ɑ,nan,,high,matthew_santali_glossed_ipa.eaf,1
LLM-000008,kạliạ jirạ,nan,,high,santali_matthew_glossed.eaf,19
LLM-000009,rạtcora,nan,,high,santali_glossed_new_3.eaf,19
LLM-000010,kạhtuk,nan,,high,lexicon.eaf,180
LLM-000011,do̱n ewɑwɑ-d̪e-ɑ ɑr-e met̪ɑ-d̪e-ɑ e prɔbʱu  ɑnɑl-em kʰɑn-em  ɑpʰɑ d̪ɑre-ɑn-ɑ,nan,,high,matthew_santali_glossed_ipa.eaf,32
LLM-000012,t̪o . jo-ma  rada . ja-d̪ea ced̪aʔ ɟe alɛ d̪ɔ t̪o . jo-lɛka ba-lɛ d̪ɘɽ d̪aɽe . ja-ʔa,nan,,high,santali_glossed_new_2.eaf,21
LLM-000013,ghạrnại ɛɾɛɲ-a,nan,,high,santali_glossed_2.eaf,41
LLM-000014,bo̱ṭe̱c̕,nan,,high,lexicon.eaf,223
LLM-000015,miʔ-hɔɽ  buniạd,nan,,high,santali_dialogues_glossed.eaf,56
LLM-000016,cele,nan,,high,santali_glossed_new_3.eaf,28
LLM-000017,d̪ɛla abo mit̪ʔ-ʈɛn pɔɾɔb-bon  capao,nan,,high,santali_glossed_new_3.eaf,79
LLM-000018,je,nan,,high,santali_mark1_glossed.eaf,9
LLM-000019,khoc̕,nan,,high,santali_glossed_new_2.eaf,28
LLM-000020,tabon saṇḍ onot̪ ɟiu ɲut̪um-t̪e bapt̪i bhap,nan,,high,santali_matthew27_mark1_glossed (1).eaf,19
LLM-000021,sil,nan,,high,santali_matthew_glossed(1).eaf,17
LLM-000022,bora,nan,,high,lexicon(1).eaf,230
LLM-000023,aere ɛ ɾaŋga-o-t̪ɛ  ciạ̃p̕,nan,,high,santali_glossed_dialogues.eaf,64
LLM-000024,ar ɔi,nan,,high,santali_dialogues_glossed.eaf,35
LLM-000025,rehõ̠ kạṭit̕ . jaʔ,nan,,high,santali_glossed_3.eaf,135
LLM-000026,hɑe ɑpe  ɔ t̪ɔr bɑd̪ɑe-kɔ ɑr pʰɑri i-kɔ pʰɑ iɑrɑ-kɔ d̪ɔ ente ɑpe d̪ɔ nɔrɔk  je ermɑ rɑd͡ʒ-pe iɲ e et̪-etʔ-kɑn-ɑ,nan,,high,matthew_santali_glossed_ipa.eaf,58
LLM-000027,iɲ dɔ dɑkʔ-ten bɑpti khoc̕ ɔnɔt ɟiu-te bɑpti -peɑ,nan,,high,santali_mark1_glossed.eaf,13
LLM-000028,ḍi,nan,,high,lexicon.eaf,170
LLM-000029,imɔn ɑr  imɔn-ren bɔehɑ ɑndreɑ talare,nan,,high,santali_mark1_glossed.eaf,26
LLM-000030,chạbi,Relatives can be inquired through mobile.,,high,santali_glossed_1.eaf,19
LLM-000031,kạidi,nan,,high,santali_glossed_dialogues.eaf,66
LLM-000032,bạriạt,nan,,high,lexicon(1).eaf,89
LLM-000033,eɾma kʰon aɾan hɔj-ena am d̪o iɲ-ɾen d̪ulaɾia hopon kan-am aɾ-ɲ-ɾen ku dạuṛạ soprot̕,nan,,high,santali_matthew27_mark1_glossed (1).eaf,25
LLM-000034,that thot,nan,,high,santali_glossed_new_2.eaf,88
LLM-000035,Un khon Ji le̱ń e̱r,nan,,high,matthew_santali_glossed.eaf,6
LLM-000036,caprasi eɾeɲ-a,nan,,high,santali_glossed_new.eaf,41
LLM-000037,d̪ɛla abo mit̪ʔ-ʈɛn pɔɾɔb-bon  dọhmot,nan,,high,santali_glossed_new_3(1).eaf,79
LLM-000038,buhni onko,nan,,high,santali_glossed_new_3.eaf,58
LLM-000039,ḍabe,Uncle: How are your parents?,,high,santali_glossed_1.eaf,64
LLM-000040,itihas,nan,,high,santali_glossed_new_2.eaf,115
LLM-000041,Hae ape  o tor badaeko ar Phari iko pha iarako do ente ape do norok  abo erma raj-pe iñ e et-et'-kan-a,nan,,high,matthew_santali_glossed.eaf,58
LLM-000042,Ar aleak' do e mambṛa mạmbṛi,nan,,high,matthew_santali_glossed.eaf,24
